	Feature	Intercept_mean	CV_HEI_mean	Intercept_std	CV_HEI_std	Intercept_hdi	CV_HEI_hdi	lower	upper	credible	Taxon
46	e9d9bafcf863ec0908ce4e20e6386ff9	-8.69411835500001	-0.0423839560434999	0.2658825181375113	0.0138897450917821	(-9.17398, -8.1959)	(-0.0680576, -0.0168357)	0.025673643956500097	0.0255482560434999	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Alitiscatomonas; s__Alitiscatomonas sp900066535
48	b61862b15d33865612e76c1db7b995a1	-8.21429235000001	-0.0417203000464999	0.2435571499136855	0.0127544544013336	(-8.68123, -7.75466)	(-0.0654885, -0.0176535)	0.023768199953500102	0.024066800046499904	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Oscillospirales; f__Butyricicoccaceae; g__Agathobaculum; s__Agathobaculum butyriciproducens
49	e91f1c5b67ffecb5ca3ca3b393a50f00	-3.86375544	-0.041434836243	0.2963595754476416	0.0153362360159275	(-4.39532, -3.28711)	(-0.06977, -0.012768)	0.028335163757	0.028666836242999996	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Christensenellales; f__Aristaeellaceae; g__SFMI01; s__
51	95fb1be2ae50b6d347649ea76c2a1874	-8.25938174500001	-0.0407645474760499	0.3031800943444426	0.0156784600825923	(-8.83655, -7.70063)	(-0.0711485, -0.0131012)	0.030383952523950104	0.0276633474760499	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Mediterraneibacter_A_155590; s__Mediterraneibacter_A_155590 butyricigenes
52	79d5bee84cddbb27acb4dd7df378c789	-6.544126450000005	-0.04067068206055	0.3147613495097479	0.0163355247551165	(-7.1015, -5.90483)	(-0.0695237, -0.00744027)	0.02885301793944999	0.03323041206055	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Christensenellales; f__Aristaeellaceae; g__SFMI01; s__
53	ab5c396eaf731e031c9764a05b798753	-7.8162504449999854	-0.0399801432599999	0.2946040340235549	0.0154122188519488	(-8.34847, -7.24483)	(-0.067928, -0.0104734)	0.027947856740000103	0.0295067432599999	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Blautia_A_141781; s__Blautia_A_141781 obeum
54	913d55d109820d0f3fad120be103c64f	-7.637245130000004	-0.039931947093	0.3512690272605643	0.0181803106925122	(-8.27895, -6.99236)	(-0.07078, -0.00431757)	0.030848052906999997	0.035614377093	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Clostridiales; f__Clostridiaceae_222000; g__Clostridium_T; s__
55	cebcb0fe524fb1cf0bfb5463ae228bed	-8.077470434999997	-0.0397083829989999	0.3189844614257263	0.0166504604741726	(-8.67375, -7.50123)	(-0.070288, -0.0098402)	0.030579617001000106	0.029868182998999897	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Lachnospira; s__Lachnospira sp000437735
76	828c563319c7cee475b9b8ab6a0a048b	-6.819071779999991	-0.0327948129029999	0.185827932166915	0.0096461833809586	(-7.14048, -6.46533)	(-0.0509899, -0.0160561)	0.0181950870970001	0.016738712902999896	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__; s__
78	bb769f42c78f86faa2801cb2c2abb8dc	-8.013442575000004	-0.032600865351	0.2856344078608517	0.0148408068640712	(-8.56744, -7.50842)	(-0.0595553, -0.00411492)	0.026954434649	0.028485945351	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Christensenellales; f__Aristaeellaceae; g__; s__
79	b9024a1f377b62508864cfea59b16a31	-7.037380194999998	-0.0319067801869999	0.2320051044684404	0.0119694137622812	(-7.45702, -6.59457)	(-0.0548843, -0.0103913)	0.0229775198130001	0.021515480186999898	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Porcincola; s__
81	bad4f7c5ada34a1f813946abcfe5c556	-4.116199479999997	-0.03114431356	0.1459860329950423	0.0075047567113952	(-4.38032, -3.84313)	(-0.0465029, -0.0187212)	0.015358586439999999	0.01242311356	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__; s__
82	7ebc04cb539befd9f2e7faa131628c66	-7.739381695000005	-0.030876689001	0.2460843796141416	0.0127890577985762	(-8.18727, -7.29419)	(-0.0545561, -0.0075437)	0.023679410999000002	0.023332989001	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Peptostreptococcales; f__Anaerovoracaceae; g__; s__
85	ec6c9ea52e88226c339487585ea02f42	-4.929230504999999	-0.0304517073718999	0.2715173994422735	0.0140443030719777	(-5.42714, -4.38933)	(-0.0571344, -0.00324809)	0.0266826926281001	0.027203617371899903	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Oscillospirales; f__Oscillospiraceae_88309; g__Limivicinus; s__Limivicinus sp002320035
89	bda6b6e7da7508c68057140e7bd6cd8d	-5.673548325000008	-0.0297765289529999	0.2629117661456872	0.0136833819892936	(-6.16336, -5.1713)	(-0.0559755, -0.0050543)	0.026198971047000096	0.0247222289529999	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Oscillospirales; f__Oscillospiraceae_88309; g__Hominicoprocola; s__Hominicoprocola sp900317525
91	4d04d759f5a6615dac43060726239891	-4.7630940849999925	-0.0296801699979999	0.240940181324873	0.0123419052832545	(-5.19, -4.3013)	(-0.0512328, -0.00597151)	0.0215526300020001	0.0237086599979999	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Lachnospira; s__Lachnospira eligens
93	3b092a59cd0e2d57483420cc994ec49c	-5.143578950000003	-0.029194004852	0.2554757268143049	0.0132428245920541	(-5.58253, -4.62122)	(-0.0539475, -0.00471528)	0.024753495148	0.024478724852000002	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Clostridiales; f__Clostridiaceae_222000; g__Clostridium_T; s__Clostridium_T celatum
94	ebab7cfc7858bfb00c486bba21d6ca6d	-5.099306984999997	-0.0291851032890499	0.2793899296035199	0.0144623599404338	(-5.65298, -4.62098)	(-0.0537224, -0.000814129)	0.024537296710950098	0.0283709742890499	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Clostridiales; f__Clostridiaceae_222000; g__Clostridium_T; s__
