Feature	Intercept_mean	CV_HEI_mean	Intercept_std	CV_HEI_std	Intercept_hdi	CV_HEI_hdi
ad7bc2bb6e1ec90a9bc3c8949bce80d6	-6.795177065000013	0.02759815065376001	0.5724708712361143	0.029298528547455516	(-7.91722, -5.81678)	(-0.0255397, 0.0852843)
8f1c11c7b732265cbfc1bb7dbd0241e7	-5.729648894999999	0.0027218899654299997	0.19914451306006145	0.010232522838172642	(-6.11177, -5.38571)	(-0.0158433, 0.0211511)
1fd31ccf4d6163405f70131e32d5065a	-6.443151054999994	-0.02722635530640004	0.4203214278148774	0.021844733624862063	(-7.18038, -5.6356)	(-0.0667925, 0.0139339)
5093ad88995f6fe457c7fe96bb0ed33b	-5.6925665799999985	-0.016909769110150012	0.24871071792969368	0.012896374692081245	(-6.22712, -5.26014)	(-0.040692, 0.00880621)
f9b52205cb2d03153fd394a290212a10	-5.086455750000008	-0.007780137519250008	0.38576982508244173	0.020020264400278202	(-5.82711, -4.37532)	(-0.0466425, 0.027922)
9d4e16844252e2dfbaf80a4a6fc4d55d	-10.028548230000007	0.02818646014489	0.4583823053739825	0.023841739090750345	(-10.8833, -9.1588)	(-0.0143344, 0.0766649)
148c7eb0139bbc1b8c87dd31464742e4	-5.940398634999996	0.014562810556100005	0.2090208647333724	0.01081906574610269	(-6.3469, -5.55307)	(-0.00585547, 0.0354007)
eea6b86c0c75e740670ccc50613b1b23	-3.497156329999996	0.007599625940164995	0.0994066915490657	0.005134137891318374	(-3.69723, -3.31779)	(-0.00227226, 0.0172821)
3fe55dd5e59267f275e972017302459f	-6.2745327799999915	0.0018395062632500013	0.540369751701991	0.02769061762302435	(-7.27943, -5.29328)	(-0.0502642, 0.0540736)
f11bd4248a2f95e53507c5bbf8dda43a	-6.641027650000013	-0.007924425953099994	0.26032833204086275	0.013373744725472432	(-7.1164, -6.1649)	(-0.0322398, 0.0175058)
09a55cd0bdf9fa4929eab3f0ed841bf5	-8.249185715000003	-0.038658420879000066	0.3095203722535701	0.016110009257428823	(-8.86933, -7.70232)	(-0.0669646, -0.00583287)
bfb7bb16ab570748b3a5d099e9426af1	-8.786413524999997	0.02133371938830004	0.21230973431951825	0.010862008122966183	(-9.17532, -8.36666)	(-0.00192964, 0.0399904)
ad52a0f6646c574417ce0b13b84acfa9	-3.6970708349999986	0.0045189712067299935	0.3042302623986524	0.015757459806136048	(-4.28617, -3.1344)	(-0.0230681, 0.0358272)
180b74e94caf35fac5e1f0f4b7ad9d9f	-6.658907415000006	0.014202155220000044	0.13602943915810198	0.007021481574215725	(-6.92055, -6.40942)	(0.00202428, 0.028228)
810926a593979f3574e3bbe7defd3559	-8.767974369999994	-0.03551560513059995	0.3668762823638278	0.018739467807086175	(-9.5226, -8.12487)	(-0.0733279, -0.00213076)
5d62137a2d05df0be8d6b7e163a3ef08	-5.565340039999996	0.021153756191000055	0.47943023092802417	0.024956706167768277	(-6.42915, -4.61447)	(-0.0243339, 0.0703109)
f9765bd9332162f70268554ab318197e	-6.5517150449999955	-0.02007959105160002	0.3220857559969055	0.01668763260735457	(-7.11236, -5.9336)	(-0.0524178, 0.0097254)
bc5b6cc17572b4fd6ebd80081410427e	-9.547990030000006	-0.014776010978525033	0.25556298397889904	0.013181378058245366	(-10.0367, -9.08137)	(-0.0385382, 0.0103337)
a29679284280410db95e5cb8c0b2d73d	-8.885786954999991	0.00121031462845	0.3482592858438638	0.018020048519336026	(-9.5762, -8.26237)	(-0.0330917, 0.0345871)
1c86153e1b13ab5322c96f2602b73513	-5.1803297650000015	-0.015311558266349981	0.47547109887888533	0.024577314392232624	(-6.17928, -4.35513)	(-0.0578576, 0.0365201)
fec0355651c9ad579f01f3e332311725	-6.977324569999999	-0.0057711127095	0.20329397712085598	0.010559744078500228	(-7.35197, -6.59268)	(-0.0242032, 0.01507)
f10155af1849a17996f302d71b32398c	-7.514221880000014	-0.03527393976149999	0.3875111551249401	0.01983902319565786	(-8.26626, -6.81944)	(-0.0722262, 0.00101158)
0cc26190e976fc496119a5eb4cd0fee7	-9.970658150000013	-0.0030037813663500003	0.3041559040375143	0.015847433558293624	(-10.5238, -9.36886)	(-0.032632, 0.0266775)
9c25197937d1f54e2634026fbca6b55f	-6.025455904999996	-0.05568984875449999	0.4836601844193717	0.02488228031265565	(-6.88527, -5.08008)	(-0.103811, -0.0110675)
40ced57decad1424c32de76ae039c050	-8.977650955000003	-0.027130082063430056	0.25649730735241255	0.013332618565434192	(-9.50601, -8.53126)	(-0.0538365, -0.00266945)
2ad31c7624bd7744a56a5ccac67ed01a	-8.87932773000002	0.01219630565125003	0.24179252490978137	0.012379780012983047	(-9.31064, -8.42677)	(-0.0105109, 0.0348402)
41df3b4c55182503ecd97c6dbe47966a	-6.084879099999999	-0.03356032297299999	0.19729367313700152	0.010299001679189016	(-6.45537, -5.71926)	(-0.051796, -0.013347)
fea3411c847e6627afb5e78b88e2e9af	-6.967758344999997	0.06831247215000012	0.31065627167676946	0.015965810459610555	(-7.5858, -6.43792)	(0.039692, 0.0984579)
8bb5ff097e0707dca3fe5860af20f4a6	-6.2081396450000055	-0.027604056353050032	0.19004666129012618	0.00978950024333204	(-6.5632, -5.83832)	(-0.0458564, -0.00879466)
bda6b6e7da7508c68057140e7bd6cd8d	-5.673548325000008	-0.029776528952999953	0.26291176614568723	0.013683381989293654	(-6.16336, -5.1713)	(-0.0559755, -0.0050543)
1a5526b9f7147b6893f1a034a107cc65	-9.520393894999978	-0.017913773899623807	0.34363052120930543	0.01772106120956289	(-10.1246, -8.82983)	(-0.0532058, 0.013722)
