	Feature	Intercept_mean	meat_fg_eaten_mean	Intercept_std	meat_fg_eaten_std	Intercept_hdi	meat_fg_eaten_hdi	lower	upper	credible	Taxon
348	4c731267e801c2afe253b5cbb58bdd24	-4.909735609999999	0.0018137739844999	0.0652315601601548	0.0004360403890072	(-5.03384, -4.79249)	(0.000977687, 0.00259945)	0.0008360869844999	0.0007856760155001	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Bariatricus; s__Bariatricus comes
349	0b05a2e48cdc5f9e766bb0f4c209d4b4	-9.013028109999992	0.0018392520822999	0.0942649369268759	0.000621977537637	(-9.19366, -8.84106)	(0.000804151, 0.00309377)	0.0010351010822999	0.0012545179177001	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Oscillospirales; f__Oscillospiraceae_88309; g__Dysosmobacter; s__Dysosmobacter welbionis
350	8720f9ecd2331ce68e2896df1bf2d977	-3.915543024999999	0.00186151307511	0.0909482481777376	0.0006293446958268	(-4.09252, -3.75828)	(0.00066505, 0.00302818)	0.0011964630751099999	0.00116666692489	yes	d__Bacteria; p__Actinomycetota; c__Coriobacteriia; o__Coriobacteriales; f__Coriobacteriaceae; g__Collinsella; s__Collinsella aerofaciens_F
351	75878b49cacdd2ffdcea1186a43be92d	-8.290092564999998	0.0018790025393499	0.116632848032065	0.0007732353050489	(-8.51016, -8.08404)	(0.000524994, 0.00333738)	0.0013540085393499	0.0014583774606501	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Roseburia_A_166204; s__Roseburia_A_166204 inulinivorans
353	d2cccbadb958c9c6547274fa10531f74	-7.327107280000018	0.00194467160031	0.111542531966069	0.000738337842543	(-7.52987, -7.11353)	(0.000545416, 0.00332832)	0.0013992556003100001	0.00138364839969	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Peptostreptococcales; f__Peptostreptococcaceae_256921; g__Romboutsia_B; s__Romboutsia_B maritimum
354	aea50462b44fe88301c739b72353e16f	-8.720703425000005	0.0019477678219	0.1056644857836321	0.0007011074519678	(-8.95155, -8.53738)	(0.0005411, 0.00319906)	0.0014066678219000002	0.0012512921781	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Eubacterium_I; s__Eubacterium_I ramulus
355	ccee9fc92f4182805278384a02a4d7d3	-9.99143413499998	0.00197351959739	0.1419147654215437	0.0009464002545209	(-10.2399, -9.70564)	(1.06053e-05, 0.00357093)	0.00196291429739	0.00159741040261	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Oscillospirales; f__Oscillospiraceae_88309; g__Dysosmobacter; s__Dysosmobacter welbionis
356	0cc26190e976fc496119a5eb4cd0fee7	-10.290840980000011	0.0019833638297749	0.1579416986832154	0.0010426873831216	(-10.6083, -10.0165)	(7.11536e-05, 0.00406)	0.0019122102297749	0.0020766361702251003	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Oscillospirales; f__Ruminococcaceae; g__Massilioclostridium; s__Massilioclostridium facile
358	9ac5fec396208e598ab2e2d26985d0df	-8.401651100000008	0.0020035185565	0.0756103370610792	0.0005040860170224	(-8.53809, -8.25018)	(0.001076, 0.0029567)	0.0009275185565	0.0009531814435000002	yes	d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Actinomycetales; f__Actinomycetaceae; g__Pauljensenia; s__Pauljensenia odontolytica_A
359	2ae8a432208b85a14e86eb821c86ce2b	-4.57106040999999	0.0020211328074999	0.0823078916607143	0.0005625798671464	(-4.71232, -4.40647)	(0.000912609, 0.0030305)	0.0011085238074999	0.0010093671925001002	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Peptostreptococcales; f__Peptostreptococcaceae_256921; g__Romboutsia_B; s__Romboutsia_B maritimum
360	de24ab68045830f7ea823f771a1f7dd3	-6.634011145000003	0.0020453385332499	0.1115956899290424	0.0007561384329389	(-6.85471, -6.4338)	(0.000658007, 0.00350293)	0.0013873315332498999	0.0014575914667501002	yes	d__Bacteria; p__Actinomycetota; c__Coriobacteriia; o__Coriobacteriales; f__Coriobacteriaceae; g__Collinsella; s__Collinsella aerofaciens_F
361	ddd87ec4b9d332c2d8c02f5d1b08dbb4	-7.732022125000007	0.0020730742485	0.0779365166455005	0.0005303278026639	(-7.87607, -7.59464)	(0.00116966, 0.00317879)	0.0009034142484999998	0.0011057157515	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Bariatricus; s__Bariatricus comes
362	a9387e76477da8688775569cf540191b	-6.338265750000007	0.00208182454105	0.1645954123079907	0.001120649619904	(-6.64477, -6.04917)	(4.86775e-05, 0.00422362)	0.0020331470410499997	0.00214179545895	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Peptostreptococcales; f__Peptostreptococcaceae_256921; g__Terrisporobacter; s__
363	c942f59feffce9c3ab527135de234101	-5.51580473	0.00213244192615	0.0895838330377032	0.0006074853218749	(-5.68375, -5.34826)	(0.000949992, 0.00323744)	0.0011824499261500001	0.0011049980738499997	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Roseburia_A_166204; s__Roseburia_A_166204 inulinivorans
364	4311a44a7d56ce4086afad3e75bedd6e	-8.424085574999989	0.0021560656659999	0.124822445454611	0.0008672809584852	(-8.64612, -8.18016)	(0.000441666, 0.00369555)	0.0017143996659999001	0.0015394843340001	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Oscillospirales; f__Ruminococcaceae; g__Ruthenibacterium; s__Ruthenibacterium lactatiformans
365	7b2ff5940de11da4dc3bb208805dff11	-8.702104719999982	0.0022871797090499	0.0979364174279495	0.0006607895184462	(-8.87781, -8.51883)	(0.00109341, 0.00355334)	0.0011937697090498999	0.0012661602909501	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Oscillospirales; f__Oscillospiraceae_88309; g__; s__
366	bfb7bb16ab570748b3a5d099e9426af1	-8.69441859999998	0.002322454137	0.0942717007507555	0.0006196460893698	(-8.85818, -8.49878)	(0.00115252, 0.00346475)	0.0011699341370000002	0.0011422958629999998	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Oscillospirales; f__Ruminococcaceae; g__Merdimmobilis; s__
367	1aab913302590e21a7be28b1494a3320	-9.434456199999987	0.0023957944489999	0.1001137399584091	0.0006557887988814	(-9.61952, -9.25472)	(0.00115683, 0.00357298)	0.0012389644489999	0.0011771855510001	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Oscillospirales; f__Oscillospiraceae_88309; g__; s__
368	86deb5cf8d6f29d383136e0d09863b69	-10.324980960000012	0.0024317264697279	0.1484605675234284	0.0009752714313159	(-10.6143, -10.0549)	(0.00047869, 0.00425464)	0.0019530364697279002	0.0018229135302720995	yes	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Erysipelotrichales; f__Erysipelotrichaceae; g__Holdemania; s__Holdemania sp900120005
369	04195686f2b70585790ec75320de0d6f	-6.191281445000003	0.00243724240842	0.1815463735640621	0.001261248108504	(-6.54608, -5.86751)	(0.000168945, 0.00488173)	0.00226829740842	0.00244448759158	yes	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Enterobacterales_737866; f__Enterobacteriaceae_A_725029; g__Escherichia; s__Escherichia fergusonii
370	8dccd839cf4868a3343e411c063932a6	-9.489176080000012	0.0024391256213999	0.1538775740289453	0.0010554064212707	(-9.76089, -9.19122)	(0.000500345, 0.00436863)	0.0019387806213999	0.0019295043786001	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Oscillospirales; f__Acutalibacteraceae; g__UBA5905; s__
372	5bb151262388870fd53a84ea6f1ffdf2	-9.76225464999999	0.0024989266084799	0.1854851676964427	0.001248790755073	(-10.1195, -9.43305)	(0.00021732, 0.00481614)	0.0022816066084799	0.0023172133915201	yes	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae_A_595427; g__Parasutterella_564865; s__Parasutterella excrementihominis
