Feature	Intercept_mean	meat_fg_eaten_mean	Intercept_std	meat_fg_eaten_std	Intercept_hdi	meat_fg_eaten_hdi
ad52a0f6646c574417ce0b13b84acfa9	-3.4579100399999994	-0.0011896814625499995	0.14392415991277624	0.0009876010423611327	(-3.75458, -3.20492)	(-0.00307564, 0.000569037)
180b74e94caf35fac5e1f0f4b7ad9d9f	-6.462912675000012	0.0005454071938195297	0.058661553367553895	0.00039666337745042135	(-6.57183, -6.34812)	(-0.000187297, 0.00126693)
810926a593979f3574e3bbe7defd3559	-9.051445364999994	-0.0030495527751499977	0.18468691484040417	0.0012722719791534135	(-9.38426, -8.69651)	(-0.00545493, -0.000747978)
5d62137a2d05df0be8d6b7e163a3ef08	-5.09242159000001	-0.0005380467217419997	0.22602228938463553	0.0015379537601314973	(-5.52952, -4.65582)	(-0.00332862, 0.00239163)
f9765bd9332162f70268554ab318197e	-6.909644664999995	-0.00017882756688900032	0.1562505606674351	0.0010536284019540582	(-7.22061, -6.61544)	(-0.00205019, 0.00178666)
bc5b6cc17572b4fd6ebd80081410427e	-9.760723365000006	-0.0005522345007210015	0.11494810825031783	0.0007857086754310635	(-9.99563, -9.58197)	(-0.00198091, 0.000925394)
a29679284280410db95e5cb8c0b2d73d	-8.718393219999998	-0.0011478108590974997	0.1618485627227862	0.001062862298250522	(-9.04985, -8.43091)	(-0.00309661, 0.00087569)
1c86153e1b13ab5322c96f2602b73513	-5.498482799999998	0.00031863208333500026	0.24385337045909383	0.001727964594855912	(-5.98712, -5.06912)	(-0.0029506, 0.00346357)
fec0355651c9ad579f01f3e332311725	-7.001288349999996	-0.0006201732343560005	0.09665562336138285	0.0006687078286853248	(-7.16826, -6.81405)	(-0.00183823, 0.000641282)
f10155af1849a17996f302d71b32398c	-8.166574390000008	2.7436594200000104e-06	0.21714189323787308	0.0014924005043793279	(-8.58103, -7.77813)	(-0.00289611, 0.00261937)
0cc26190e976fc496119a5eb4cd0fee7	-10.290840980000011	0.001983363829774997	0.1579416986832154	0.0010426873831216614	(-10.6083, -10.0165)	(7.11536e-05, 0.00406)
9c25197937d1f54e2634026fbca6b55f	-6.651922285	-0.0031538625573000055	0.25180396894534607	0.001691738878806182	(-7.15619, -6.21492)	(-0.00646181, -0.000205691)
40ced57decad1424c32de76ae039c050	-9.521803069999994	0.0002731395062245003	0.110831543590149	0.0007145237028117403	(-9.70851, -9.29297)	(-0.00111113, 0.00155509)
2ad31c7624bd7744a56a5ccac67ed01a	-8.88486964499998	0.001746734279685003	0.11065793420728573	0.0007301104809661405	(-9.09791, -8.6829)	(0.000431061, 0.00317449)
41df3b4c55182503ecd97c6dbe47966a	-6.414932305000013	-0.0023796092889999984	0.0866818909757799	0.0005783511612698532	(-6.57416, -6.24156)	(-0.0034918, -0.00130804)
fea3411c847e6627afb5e78b88e2e9af	-6.510283074999993	0.006184721744999997	0.1545145061261059	0.001099762251955214	(-6.8146, -6.22503)	(0.00407148, 0.00817102)
8bb5ff097e0707dca3fe5860af20f4a6	-6.641492525000016	-0.0006025675915150004	0.09754286197756543	0.0006738051865715174	(-6.83551, -6.47449)	(-0.00186328, 0.000692448)
bda6b6e7da7508c68057140e7bd6cd8d	-6.125813904999992	-0.0007536178013684983	0.11840378276221158	0.000797114709271503	(-6.36123, -5.91125)	(-0.00225277, 0.00072401)
1a5526b9f7147b6893f1a034a107cc65	-9.875577584999993	0.00013720854404749997	0.1605069660934308	0.0010992936564662773	(-10.17, -9.56776)	(-0.00187299, 0.00220901)
97f26830027d30dfbd60b54895af0660	-8.994253735000013	-0.0005272995050469002	0.14696416711021704	0.0009574507048851149	(-9.25175, -8.70873)	(-0.00233071, 0.00116906)
