Feature	Intercept_mean	fiber_eaten_mean	Intercept_std	fiber_eaten_std	Intercept_hdi	fiber_eaten_hdi
5f9d6c173705f19cd3a1e5145c52789a	-9.251863209999998	0.013943528403649982	0.31550930870482385	0.012076604687148603	(-9.87614, -8.69537)	(-0.0082863, 0.0376294)
1ef782a559e3e0a4ab42516e0a2c828f	-7.8760665549999995	-0.029889220680999945	0.22203176429236873	0.00829532143431993	(-8.30349, -7.48263)	(-0.0452373, -0.0142643)
97f56e68f535e44ceb53d05f269e82d6	-6.946288735000008	0.0056804374983999905	0.13225845801403313	0.0050676522091728385	(-7.20104, -6.70941)	(-0.00385759, 0.0147284)
3f38509af22157cdcb4006457529d25e	-8.242447544999997	-0.026334776016999968	0.223080905179316	0.008380477820810257	(-8.65281, -7.81314)	(-0.0416388, -0.00929281)
ccee9fc92f4182805278384a02a4d7d3	-9.115918160000001	-0.025191545801999997	0.2175231394760438	0.008426944014860913	(-9.58356, -8.76218)	(-0.0415836, -0.0102534)
b3bf877149e7a31ad9a7397a3ca8b011	-9.46245501000003	0.00505863433217501	0.28030680470851904	0.010584403502072666	(-10.0406, -8.96454)	(-0.0150678, 0.0246974)
33852dc244bb69590e8e756a83bb2f4c	-9.196619179999988	-0.013263903548500024	0.2002053198457215	0.007584871626428253	(-9.56562, -8.81721)	(-0.0277366, 0.00092557)
8f5959f21dc9ce9a281656f8d699ec07	-7.72438309000001	0.03357485527000001	0.23128666263049374	0.008889263070989698	(-8.15093, -7.28586)	(0.0158609, 0.0494497)
2086666afdd5de098b04a94247040c11	-7.835633120000008	-0.00240222731842	0.29360274314823015	0.011483362153043263	(-8.42438, -7.3183)	(-0.0242667, 0.0180916)
96169c3701e79f42346c41eb7b5bf2af	-10.276001124999988	0.031474846549999935	0.26388155819095144	0.010107166320543209	(-10.7901, -9.81307)	(0.0126924, 0.049984)
d05c86b5bfc092d8677507fb1eae8d66	-5.597253005000008	-0.002613193256714998	0.3035540445593173	0.011547492388564114	(-6.13358, -5.02803)	(-0.0240165, 0.0188446)
25dd2ae928b2e5e1ac2e28dbe2112991	-6.576748840000014	0.009191010395999996	0.13241982624310608	0.005047621618960204	(-6.83796, -6.34025)	(0.000116627, 0.0188027)
cebcb0fe524fb1cf0bfb5463ae228bed	-10.13557693999999	0.049967814100000035	0.2697233716047542	0.010350028136262294	(-10.6147, -9.6189)	(0.0286885, 0.0678791)
90104f2fbcc925a6619e805c7a625c57	-9.226411945000002	0.026067720305050012	0.2996569720176174	0.011465960410331202	(-9.7971, -8.67622)	(0.00508232, 0.0486622)
4c2189b6b5ced3cb80093414e9449de9	-6.278167509999993	0.013028467399949973	0.11863997235375559	0.004571582348087464	(-6.51394, -6.07375)	(0.00503865, 0.0218718)
c4e57b91cc2be5a2232b3612abdf4c0c	-6.483557000000006	-0.06842347130000014	0.3949234867797811	0.015179110752759411	(-7.23287, -5.78002)	(-0.096163, -0.0399441)
1600415004247da005dd77bd44c633d9	-8.580280014999989	0.02221719979500001	0.14628451447419077	0.005502659097933089	(-8.85138, -8.31283)	(0.0120306, 0.0321382)
3b092a59cd0e2d57483420cc994ec49c	-5.818736540000009	0.005187467978089998	0.19042652942467997	0.007250153205889215	(-6.1883, -5.48644)	(-0.00826351, 0.0179055)
2c5c5d710e1b9229efa72f98ca7b4e71	-8.426279100000011	-0.016761791648050004	0.3495792556139308	0.013256438342912144	(-9.07133, -7.76176)	(-0.0405529, 0.00854573)
db093685d2f3295cfa4da0a44d3d9ad0	-8.486334960000006	0.016768555059500007	0.18713067791038	0.0070160010149790415	(-8.86567, -8.16766)	(0.00238813, 0.0288763)
63a2de21003c952fd04b694d8444e66f	-6.827721270000001	-0.011594439841575006	0.2065521182171394	0.007739440178723259	(-7.17958, -6.4379)	(-0.0252469, 0.00257638)
59196a586276f0be745d0e334fc071c6	-3.3186740949999987	-0.002918818009621995	0.08974754274619991	0.0034231583636644036	(-3.48883, -3.15226)	(-0.00925214, 0.00370263)
8507091bac6b1be88f3d360d6d535d0e	-8.709372810000003	0.024885440654999955	0.14988120130391236	0.005620354562411051	(-8.96361, -8.4079)	(0.0144282, 0.0349037)
8f649d1053a0ead08b37f8e06fbb2818	-8.074813529999997	-0.012429918072550008	0.18008290517519734	0.0067712446949479595	(-8.38455, -7.71614)	(-0.0263219, -0.000636191)
8a70333f85e6869971ef357eceadf3ef	-8.231396359999982	0.008100314566420007	0.22016870783753623	0.00828816242695654	(-8.67004, -7.81851)	(-0.00902929, 0.0231066)
8e0da29b36fbc3879561566e87f11ea7	-8.895395280000002	0.0062525615051149805	0.2715295873676047	0.010269623793529161	(-9.42625, -8.4002)	(-0.0133889, 0.0254605)
5093cebf67405c910fb68525ffa6dc3d	-10.05414277499999	-0.0039211637584899975	0.24106745759817802	0.00935499082984218	(-10.4911, -9.59088)	(-0.0212449, 0.0134792)
bde648dc2bd51d522327b0bb99e98340	-9.367805065000011	-0.014178031197900016	0.20833122262780457	0.008094959713228187	(-9.73519, -8.98364)	(-0.0297705, 0.000137967)
8720f9ecd2331ce68e2896df1bf2d977	-3.174860649999999	-0.020196080290499983	0.14065713961714668	0.005319923184823376	(-3.44462, -2.92637)	(-0.0300979, -0.0101312)
3af2ddaf4af4b5ae4100439a9c3d4099	-8.454425250000007	-0.02060817866500001	0.16532546832819658	0.0063881400357005715	(-8.78187, -8.15893)	(-0.0321827, -0.00823731)
de24ab68045830f7ea823f771a1f7dd3	-5.971737435000012	-0.01591542634794999	0.16945616471427283	0.006473454156024983	(-6.28955, -5.65793)	(-0.0280003, -0.00408752)
aec9d6920c8746590e4dff84ba121b90	-7.772942140000003	-0.005548717647155001	0.20207621202932421	0.007616364305647334	(-8.16913, -7.41541)	(-0.0186609, 0.00940069)
192522c9b7c41f7a761f8a2ba792268a	-6.418525939999991	-0.01620805927850002	0.16997377762383337	0.006348984717411601	(-6.75774, -6.12789)	(-0.0278666, -0.00393503)
458157e555a80f9ba01d9da37ef787eb	-5.1331410450000075	0.0055476910084599875	0.2755880768715475	0.010586358266440226	(-5.61195, -4.60841)	(-0.0131567, 0.0254563)
3017f87a3b0f5200ed54eca17eef3cbb	-8.670455019999995	-0.0009668230177350002	0.1777095153020784	0.006370831347007282	(-8.97697, -8.31699)	(-0.0128272, 0.0111135)
c5e3c5422835403541b0af331a2cc649	-7.737627575000012	-0.035634300889999984	0.20806639517992642	0.007794072432992868	(-8.09436, -7.3117)	(-0.0505758, -0.02164)
be7fc30c58dc772f88007fdefcf21a96	-7.9921676700000015	0.0027582354170700013	0.15945657863936222	0.00611665155870335	(-8.28765, -7.69594)	(-0.00877601, 0.014219)
3d766867c97f511431bf97e059d6498f	-5.474024560000002	-0.010573068298899983	0.1341480377355792	0.00510937993372245	(-5.6939, -5.20608)	(-0.0205025, -0.00179331)
9099a7f671b923c7b07c12508f17270a	-7.360236660000009	-0.030442846345000003	0.2000034414015027	0.007782976392289215	(-7.75391, -6.99543)	(-0.0455795, -0.016465)
4973330392dab23937c67af9843e5359	-8.728136179999995	0.027232207195999947	0.22407694099239123	0.008369596436097429	(-9.11548, -8.28956)	(0.0119068, 0.04289)
2cf53730a41137e7ad95ed3680541d80	-9.470312680000006	0.012195768064999984	0.3160276941674852	0.012139692907913186	(-10.0312, -8.85575)	(-0.0118931, 0.0341454)
2a0968119cb66a61a416f8d924c224ac	-6.769862434999994	0.022145421199750045	0.42992909568569637	0.01645770921058879	(-7.62313, -6.02347)	(-0.00576064, 0.0555416)
a4e2a4e1321a599651edf92f6999e78e	-8.144964315000001	0.023464835266400016	0.4340748741560963	0.016694737599737133	(-8.89602, -7.28109)	(-0.00757383, 0.0551793)
782772ed674928794b78f5a59ee3d08c	-9.796871695000007	0.01516186943850001	0.2292586753202088	0.008549740132898763	(-10.2287, -9.38985)	(-0.00020506, 0.0312882)
ab5c396eaf731e031c9764a05b798753	-9.063170654999992	0.019950267868399988	0.2321817540402798	0.008803197761539365	(-9.46785, -8.59928)	(0.00277616, 0.0358778)
