Feature	Intercept_mean	CV_vegetables_fg_eaten_mean	Intercept_std	CV_vegetables_fg_eaten_std	Intercept_hdi	CV_vegetables_fg_eaten_hdi
30207d209491dfb7de83344e77fd6fbd	-6.063539769999998	-0.003910248032949999	0.1627263443107695	0.002436513812363056	(-6.40214, -5.77666)	(-0.00920257, 0.000362786)
3e93fd55a231bb99b67a666bad8446a8	-8.514623264999988	0.003922302082655004	0.16451872986772592	0.002471272305315775	(-8.82521, -8.21229)	(-0.000720461, 0.00848298)
d39f37b814ebd81091a949f8bd9d1710	-6.215631600000012	-0.00037256650524999967	0.23937547033612294	0.003601159860926952	(-6.6543, -5.77306)	(-0.0072055, 0.00586325)
706b0d627a9ba61b18e6b7b39622ac1f	-9.307767014999989	0.0047660402690250046	0.28886755850344253	0.004304861599693008	(-9.8911, -8.82164)	(-0.00302818, 0.0128454)
32382a0f5831da5faee464d011b5616c	-6.429707155000004	0.007945232728479997	0.43367965449217943	0.006511063513219246	(-7.27315, -5.64052)	(-0.00361168, 0.0209282)
fcd575ef43a2ae77d9b7c10639e80fd8	-9.88144886000001	0.0009195556113350003	0.2733422985845781	0.004062350852318558	(-10.3724, -9.36323)	(-0.00624929, 0.00846071)
fdb1c35a8dab336d65ed22d796e71e4b	-6.434476939999996	-0.004510183413379999	0.4594383339266938	0.006910780891266272	(-7.29495, -5.61247)	(-0.0172331, 0.00782599)
25def15fb42bed6855ede4893d27a21d	-5.2073065800000045	-0.0011998069192200003	0.2725169089089768	0.004017579417686411	(-5.7724, -4.72067)	(-0.00959804, 0.00566842)
2a13ecb6c618ddf8154298c69336dd8e	-8.739105704999997	0.0030525838150199987	0.34357658547200665	0.0051545754594057155	(-9.36046, -8.12389)	(-0.00612573, 0.0124937)
9ad89cc951aa3031c19c59c95e401614	-10.16113700500001	0.007741488475250504	0.23859636623968114	0.0035094691206371317	(-10.6022, -9.69441)	(0.00126741, 0.0145242)
55d4d3011e1f3bb8e4e5089b801b61a4	-9.187552579999998	-0.003603648597499999	0.2578491383511752	0.0038807203906684076	(-9.7002, -8.73118)	(-0.0116396, 0.00293371)
4ed55370307d6700d110b6d3f1196136	-7.044007304999994	-0.00972456804690001	0.4195130010324913	0.006344115321273122	(-7.8181, -6.23417)	(-0.0224484, 0.00139979)
154c25181234441402124e02c204074c	-9.660840124999998	0.0026868835266049967	0.2752255904833969	0.004068449104133768	(-10.2074, -9.18484)	(-0.00425998, 0.0104537)
