	Feature	Intercept_mean	protein_eaten_mean	Intercept_std	protein_eaten_std	Intercept_hdi	protein_eaten_hdi	lower	upper	credible	Taxon
314	2b982979f2401a8bc447d7141879e9b2	-4.126038995000004	0.0030342145060499	0.1132659506729184	0.0013192162425925	(-4.31934, -3.90715)	(0.000572437, 0.00551583)	0.0024617775060499	0.0024816154939501004	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Dorea_A; s__Dorea_A longicatena
345	9ed241a051fe72047261df3b7e08b675	-7.402441240000018	0.0044114360869	0.1885433221062531	0.0022249395410646	(-7.77751, -7.07051)	(0.000180698, 0.00843514)	0.0042307380869	0.004023703913100001	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Oscillospirales; f__Ruminococcaceae; g__Gemmiger_A_73129; s__Gemmiger_A_73129 formicilis
359	e1b3393309a8b247e0c358c26176d13c	-7.144377435	0.00514322799065	0.1865698794078797	0.0021758051767189	(-7.50631, -6.80449)	(0.00087302, 0.00901706)	0.004270207990649999	0.0038738320093500006	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Dorea_A; s__Dorea_A longicatena
361	c942f59feffce9c3ab527135de234101	-5.663514204999995	0.0051631493926499	0.2082893580624511	0.0024384332160815	(-6.03718, -5.26825)	(0.000710231, 0.00981799)	0.004452918392649901	0.0046548406073501	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Roseburia_A_166204; s__Roseburia_A_166204 inulinivorans
362	ba88d4e4e6a24ecc2a5aab6bdfbb77f5	-8.241929460000001	0.0052145993846	0.2039252256973334	0.0023835009285136	(-8.62788, -7.85137)	(0.000966885, 0.00984969)	0.0042477143846	0.0046350906154	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Oscillospirales; f__Oscillospiraceae_88309; g__Lawsonibacter; s__Lawsonibacter faecis
367	1aab913302590e21a7be28b1494a3320	-9.61346648000002	0.0059422447700949	0.2060394585520202	0.0023845627636232	(-10.0115, -9.24151)	(0.00146283, 0.0103945)	0.0044794147700949	0.004452255229905099	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Oscillospirales; f__Oscillospiraceae_88309; g__; s__
369	aec9d6920c8746590e4dff84ba121b90	-8.419819344999992	0.006018712701482	0.2722679156557396	0.0031943326389809	(-8.881, -7.88962)	(4.36043e-05, 0.0117269)	0.005975108401482	0.005708187298518	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Mediterraneibacter_A_155507; s__Mediterraneibacter_A_155507 lactaris
370	bde648dc2bd51d522327b0bb99e98340	-10.230367810000018	0.006051850962	0.2768861830207568	0.0032525540960307	(-10.738, -9.70833)	(0.000255092, 0.0122166)	0.005796758962	0.006164749038	yes	d__Bacteria; p__Desulfobacterota_G_459543; c__Desulfovibrionia; o__Desulfovibrionales; f__Desulfovibrionaceae; g__Bilophila; s__Bilophila wadsworthia
373	10cd502b01abafc87e2ecbad86389286	-6.623728074999986	0.0063063047649999	0.1730043988424698	0.0020356915993201	(-6.92567, -6.29895)	(0.00230468, 0.00964886)	0.0040016247649999	0.0033425552350001006	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Clostridium_R_135822; s__Clostridium_R_135822 fessum
374	2d575dfaf20c70d49b09be32a1492254	-9.366064369999997	0.00641883994725	0.2243896535801127	0.0026520150182732	(-9.79762, -8.96931)	(0.00164702, 0.0114533)	0.00477181994725	0.00503446005275	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Clostridium_R_135822; s__Clostridium_R_135822 fessum
