Feature	Intercept_mean	protein_eaten_mean	Intercept_std	protein_eaten_std	Intercept_hdi	protein_eaten_hdi
4c2189b6b5ced3cb80093414e9449de9	-6.130331784999987	0.002222476203284999	0.16787819156866018	0.0019479367411536594	(-6.42645, -5.78451)	(-0.00143843, 0.00590747)
c4e57b91cc2be5a2232b3612abdf4c0c	-7.673884515000005	-0.00495582627608999	0.494581187677781	0.005756950051919712	(-8.54309, -6.70313)	(-0.0157777, 0.00553978)
1600415004247da005dd77bd44c633d9	-8.18553955499999	0.0021316808375299945	0.18989649386508425	0.002217007288640973	(-8.53748, -7.82684)	(-0.00229522, 0.00602574)
3b092a59cd0e2d57483420cc994ec49c	-5.935601374999992	0.0030021034714600016	0.2703897640241943	0.003158469039987144	(-6.38706, -5.3826)	(-0.00293944, 0.00887609)
2c5c5d710e1b9229efa72f98ca7b4e71	-8.403192750000006	-0.005167131570995009	0.4923317203154168	0.005717449734181196	(-9.35703, -7.50039)	(-0.0171136, 0.0045467)
db093685d2f3295cfa4da0a44d3d9ad0	-7.446727734999997	-0.007355195168530007	0.2855569016026748	0.003366860938116129	(-7.96573, -6.91075)	(-0.0138151, -0.00128167)
63a2de21003c952fd04b694d8444e66f	-6.674914564999989	-0.0052282616137999975	0.31953517363759976	0.0037330841556609687	(-7.32444, -6.12231)	(-0.0128095, 0.00152913)
59196a586276f0be745d0e334fc071c6	-3.5302527899999956	0.0016555485876800003	0.11582233195638875	0.0013586802392058115	(-3.73419, -3.30682)	(-0.00109906, 0.00395193)
8507091bac6b1be88f3d360d6d535d0e	-8.127994819999971	0.0008341758005040009	0.2187513437402558	0.0025665056623272163	(-8.52881, -7.73051)	(-0.00401241, 0.00552186)
8f649d1053a0ead08b37f8e06fbb2818	-8.234097275	-0.0018465031064599994	0.24907661754613653	0.0029238491500732547	(-8.73359, -7.80251)	(-0.00681761, 0.0040732)
8a70333f85e6869971ef357eceadf3ef	-8.513506190000001	0.005784810267716006	0.3070070769438123	0.00358247100369396	(-9.07619, -7.90411)	(-0.00129835, 0.0121731)
8e0da29b36fbc3879561566e87f11ea7	-9.328962105000011	0.006987376559150002	0.38118209788737345	0.004452301414067684	(-9.98292, -8.61409)	(-0.00129441, 0.0146948)
5093cebf67405c910fb68525ffa6dc3d	-9.855583354999977	-0.003580829354524996	0.3123787522963016	0.003698947119946809	(-10.4497, -9.29356)	(-0.0108533, 0.00291802)
