	Feature	Intercept_mean	potassium_eaten_mean	Intercept_std	potassium_eaten_std	Intercept_hdi	potassium_eaten_hdi	lower	upper	credible	Taxon
383	208c8722c4dd18b60b2b2684272ff26c	-9.419611165000005	0.4930313313849996	0.4375825082655756	0.2085751032172963	(-10.3004, -8.64323)	(0.114949, 0.903067)	0.3780823313849996	0.41003566861500035	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Oscillospirales; f__Ruminococcaceae; g__Ruminiclostridium_E; s__Ruminiclostridium_E siraeum
384	4973330392dab23937c67af9843e5359	-9.067766079999997	0.4945825443500004	0.2730713515622492	0.1282593605162185	(-9.59209, -8.56416)	(0.241872, 0.72447)	0.2527105443500004	0.22988745564999957	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Lachnospira; s__Lachnospira eligens
385	30c16856bd5bae4cd2f1182341b30ffc	-10.11291236	0.4999498328125005	0.3737591382085935	0.178242143921925	(-10.7766, -9.37276)	(0.194933, 0.867495)	0.30501683281250047	0.3675451671874995	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Roseburia_A_166204; s__Roseburia_A_166204 hominis
386	79d5bee84cddbb27acb4dd7df378c789	-8.363916489999982	0.5061047453950007	0.3475481598637517	0.1649477261634288	(-8.98404, -7.72324)	(0.197245, 0.791371)	0.3088597453950007	0.2852662546049993	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Christensenellales; f__Aristaeellaceae; g__SFMI01; s__
387	aa3e2d76e864d7909b51110e211ef36c	-9.925185960000006	0.5362735173399998	0.3768983493973917	0.179293816006473	(-10.6771, -9.24162)	(0.209238, 0.884705)	0.3270355173399998	0.3484314826600001	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Oscillospirales; f__Acutalibacteraceae; g__UBA737; s__UBA737 sp900547445
388	8aff935557eab67b0baa4553b8518105	-9.918001884999985	0.5392945650999997	0.3695814466838089	0.1751146967798736	(-10.5682, -9.21658)	(0.210708, 0.858183)	0.32858656509999973	0.3188884349000003	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Coprococcus_A_187866; s__Coprococcus_A_187866 catus_A
389	3bff9ab82e7f2a76cc22e687ac7b72fd	-7.860630115000011	0.5411463722999998	0.4604223162961773	0.2175304912394659	(-8.82522, -7.07085)	(0.138621, 0.977059)	0.40252537229999985	0.43591262770000017	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Butyribacter; s__Butyribacter intestini
390	1986030e3c5cd5df6d869054bc96e536	-8.916573094999993	0.5430184254999998	0.2951149301268422	0.1401017509965933	(-9.46735, -8.38188)	(0.268377, 0.782043)	0.2746414254999998	0.23902457450000025	yes	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Enterobacterales_737866; f__Pasteurellaceae; g__Haemophilus_D_735815; s__Haemophilus_D_735815 parainfluenzae_P
391	4ed55370307d6700d110b6d3f1196136	-8.812117960000004	0.5492192177744992	0.5526641572052039	0.2639675545447589	(-9.93192, -7.83923)	(0.0308828, 1.01678)	0.5183364177744992	0.4675607822255008	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Coprococcus_A_121497; s__Coprococcus_A_121497 sp000154245
392	69d052e452e79d571cba042af265d50c	-6.297472554999995	0.5629054299049995	0.4092565327134338	0.1940424202979679	(-7.01686, -5.51649)	(0.199339, 0.916058)	0.3635664299049995	0.35315257009500056	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Coprococcus_A_121497; s__Coprococcus_A_121497 eutactus
393	a4e2a4e1321a599651edf92f6999e78e	-8.771992400000006	0.5806551625999995	0.4162620149072455	0.1972507526176112	(-9.56876, -8.04701)	(0.229907, 0.958395)	0.3507481625999995	0.3777398374000005	yes	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__MOL361; f__Turicibacteraceae; g__Turicibacter; s__Turicibacter bilis
394	28bb502265419a0e86626d75a1183ce7	-9.566944054999995	0.6027167438500011	0.4260680205252524	0.2009159970218177	(-10.3244, -8.71888)	(0.228546, 0.98459)	0.37417074385000104	0.3818732561499989	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Christensenellales; f__Aristaeellaceae; g__; s__
395	f45b62ab6ec22fb20364a7e05088158f	-8.543525094999993	0.6121809805000009	0.3444121208328637	0.1630785259480079	(-9.16276, -7.89682)	(0.332693, 0.930562)	0.2794879805000009	0.3183810194999991	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Muricoprocola; s__Muricoprocola aceti
396	f4dfb45b33372cdc0dc2fd20c0d0b448	-9.509717310000005	0.6164792509000007	0.5273599027241869	0.2538567194318091	(-10.4891, -8.52822)	(0.157835, 1.11297)	0.45864425090000066	0.49649074909999935	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Oscillospirales; f__CAG-272; g__Avispirillum; s__Avispirillum sp011957885
397	f8529e2e737999b4a7d06420482d4af3	-9.83467832499998	0.6323705664999997	0.4107666756094566	0.1930378773457293	(-10.6029, -9.05358)	(0.261559, 0.98992)	0.3708115664999997	0.35754943350000035	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__; s__
398	25e04b2be57def00437d44ab461e8773	-9.238276405	0.6520343880000002	0.4421822885136015	0.210094144921534	(-10.0501, -8.40108)	(0.271204, 1.04781)	0.38083038800000024	0.39577561199999967	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Coprococcus_A_121497; s__Coprococcus_A_121497 eutactus
399	e82ab12c51a893c6d7938a16632199a8	-9.168721554999989	0.7699895634999998	0.5194194210159382	0.248658732859515	(-10.13, -8.15257)	(0.284496, 1.2356)	0.4854935634999998	0.4656104365000002	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Acetatifactor; s__Acetatifactor acetigignens
400	b423592b0ae631882095792b27729b9c	-10.781097945	0.9437084270000002	0.4705291221240473	0.2234303662468076	(-11.6239, -9.87187)	(0.50754, 1.34028)	0.43616842700000025	0.3965715729999997	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Oscillospirales; f__Oscillospiraceae_88309; g__Dysosmobacter; s__Dysosmobacter sp000403435
