Feature	Intercept_mean	potassium_eaten_mean	Intercept_std	potassium_eaten_std	Intercept_hdi	potassium_eaten_hdi
322498f1025a569812be6e3fe4f63ff7	-7.487197414999999	-0.21961658081199986	0.31068411082942077	0.147181606225541	(-8.10425, -6.94389)	(-0.484838, 0.0641474)
d75b7080930e7a77ef3de8c6154895b9	-4.483164220000003	-0.12750007548902503	0.3640510099959781	0.16828243659724246	(-5.16427, -3.78112)	(-0.426927, 0.201779)
9bf0d2dbffe7925240ea811d2a4cd625	-8.953812630000007	-0.02387931525050002	0.21760917150796552	0.10291460437018515	(-9.35965, -8.56319)	(-0.208644, 0.16735)
a167e4d4418792dcaba877443ed0e66d	-7.835966950000007	-0.38205503761599957	0.3562010902338697	0.16906699560751617	(-8.49151, -7.16883)	(-0.682637, -0.0643638)
ac0202d177961ffb380b6859272bde53	-8.207808644999997	0.09339490183577007	0.3163212732998115	0.14902789450849088	(-8.78556, -7.61739)	(-0.188509, 0.36559)
e3ab3e4772986724760dbd52b7af55f7	-8.076256945	-0.04869036764230004	0.24725487298275237	0.11722475454875313	(-8.5409, -7.62529)	(-0.255907, 0.179059)
481e48328fe7a9837c7233de8f60fc23	-8.595975445000011	-0.2887583830004997	0.27326257265879267	0.1310927717647733	(-9.12183, -8.09116)	(-0.527262, -0.027939)
be17b29b03ed02bed133932284568d16	-6.743545510000014	0.1209060527439999	0.19663945353626228	0.09378344554111369	(-7.13299, -6.40202)	(-0.0470944, 0.308081)
5f9d6c173705f19cd3a1e5145c52789a	-9.893922755000016	0.4738380803699993	0.39809350316547487	0.1886065013532014	(-10.6682, -9.1329)	(0.117411, 0.830385)
1ef782a559e3e0a4ab42516e0a2c828f	-8.351606145000005	-0.11554732687499995	0.36489548595205884	0.17261636881382442	(-8.98739, -7.66659)	(-0.448255, 0.192668)
97f56e68f535e44ceb53d05f269e82d6	-6.875231780000012	0.035103058973549935	0.15533105119721446	0.07347638313216213	(-7.18605, -6.60391)	(-0.0939797, 0.180156)
3f38509af22157cdcb4006457529d25e	-8.449378590000007	-0.21159233337500014	0.26256946672702025	0.12436051152421695	(-8.91062, -7.93006)	(-0.436576, 0.0219623)
ccee9fc92f4182805278384a02a4d7d3	-9.465358540000002	-0.12785570709654984	0.2729969637330577	0.12951461412537174	(-9.93455, -8.92703)	(-0.378075, 0.106869)
b3bf877149e7a31ad9a7397a3ca8b011	-9.762421299999987	0.20683608211149998	0.30841606018933265	0.144539845985192	(-10.3228, -9.16362)	(-0.0530721, 0.482239)
33852dc244bb69590e8e756a83bb2f4c	-9.437895905000005	-0.040695590189999985	0.2519130786332479	0.12008416678250919	(-9.88142, -8.93733)	(-0.251407, 0.193572)
8f5959f21dc9ce9a281656f8d699ec07	-7.353203735000013	0.23955736200900019	0.25796493012946514	0.12311615473767755	(-7.85525, -6.89863)	(0.0167039, 0.472978)
2086666afdd5de098b04a94247040c11	-8.59651287499999	0.3374065680050003	0.34577768745392495	0.16482516948531753	(-9.2331, -7.90701)	(0.0168047, 0.643072)
96169c3701e79f42346c41eb7b5bf2af	-10.213525814999995	0.36035261804000107	0.27895632469050746	0.13181279269806465	(-10.754, -9.72221)	(0.133556, 0.610347)
d05c86b5bfc092d8677507fb1eae8d66	-6.153026949999992	0.23555111510010002	0.33541652941096606	0.15893538289383055	(-6.76232, -5.52404)	(-0.0471057, 0.539301)
25dd2ae928b2e5e1ac2e28dbe2112991	-6.472749395000008	0.06405701503775002	0.15577739133803722	0.07350770292814522	(-6.76025, -6.18638)	(-0.0708677, 0.198709)
cebcb0fe524fb1cf0bfb5463ae228bed	-9.800310630000011	0.4718325290500007	0.31449442672216515	0.14908496437698376	(-10.4222, -9.22868)	(0.202395, 0.763213)
90104f2fbcc925a6619e805c7a625c57	-9.271730030000013	0.34437138976500004	0.33809127047085846	0.16157256288366165	(-9.87179, -8.58545)	(0.0545985, 0.66672)
4c2189b6b5ced3cb80093414e9449de9	-6.231102500000005	0.13868629834350013	0.14426910759428033	0.06837394828180694	(-6.51778, -5.98843)	(0.0218644, 0.273275)
c4e57b91cc2be5a2232b3612abdf4c0c	-7.39307989499999	-0.34918786409500047	0.4322477075884136	0.20365232106857029	(-8.19548, -6.57723)	(-0.721038, 0.038933)
1600415004247da005dd77bd44c633d9	-8.381317789999997	0.18116691079449987	0.17351755605245217	0.08186740527948555	(-8.71424, -8.06483)	(0.0416175, 0.351598)
3b092a59cd0e2d57483420cc994ec49c	-5.886729765000012	0.09716290556109988	0.21769124671147144	0.10272928968869635	(-6.29776, -5.48583)	(-0.10345, 0.277517)
2c5c5d710e1b9229efa72f98ca7b4e71	-9.26015353	0.2076085083095553	0.4245777184588694	0.2021981897767541	(-10.1078, -8.50475)	(-0.179845, 0.585017)
db093685d2f3295cfa4da0a44d3d9ad0	-8.489412629999991	0.20907640123249988	0.21292179399273145	0.09992060875188269	(-8.8919, -8.09726)	(0.0198253, 0.395656)
63a2de21003c952fd04b694d8444e66f	-6.695826995000009	-0.2077454933250001	0.2647327510184938	0.12535082478150833	(-7.1769, -6.18462)	(-0.456931, 0.0141123)
59196a586276f0be745d0e334fc071c6	-3.277729350000008	-0.055840280496800114	0.10363454354932773	0.048964977682363534	(-3.48536, -3.09306)	(-0.150459, 0.0320775)
8507091bac6b1be88f3d360d6d535d0e	-8.847662029999999	0.3750067924999995	0.17397689391835672	0.08251659321744591	(-9.13668, -8.49307)	(0.224818, 0.530023)
8f649d1053a0ead08b37f8e06fbb2818	-8.327339020000027	-0.027418292419750002	0.20631842088805258	0.09837468392906702	(-8.70578, -7.94613)	(-0.211616, 0.160688)
8a70333f85e6869971ef357eceadf3ef	-8.440979844999989	0.19940250530949985	0.2527813326294604	0.12108328423182226	(-8.89944, -7.95542)	(-0.0270551, 0.421776)
8e0da29b36fbc3879561566e87f11ea7	-9.117813274999978	0.18457177704875	0.30689526877507334	0.1450882257055188	(-9.66917, -8.52628)	(-0.0857748, 0.458945)
5093cebf67405c910fb68525ffa6dc3d	-9.785957374999995	-0.18147382494274963	0.2865470673920069	0.13881812921312603	(-10.3162, -9.25014)	(-0.435224, 0.0807341)
bde648dc2bd51d522327b0bb99e98340	-9.912857229999997	0.0938183425884999	0.23585327061401348	0.11170739761463863	(-10.3313, -9.4913)	(-0.114661, 0.290807)
