	Feature	Intercept_mean	fruits_fg_eaten_mean	Intercept_std	fruits_fg_eaten_std	Intercept_hdi	fruits_fg_eaten_hdi	lower	upper	credible	Taxon
0	74923f4bbde849e27fc4eda25d757e2a	-7.582252494999981	-0.0057049813099999	0.1767290347518624	0.0008286055366758	(-7.92259, -7.27579)	(-0.00710347, -0.00400225)	0.0013984886900000994	0.0017027313099999006	yes	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Erysipelotrichales; f__Erysipelotrichaceae; g__Clostridium_AQ; s__Clostridium_AQ innocuum
1	9d4e16844252e2dfbaf80a4a6fc4d55d	-8.842876095000001	-0.004165447665	0.1486506631996674	0.0007481287257791	(-9.13576, -8.56324)	(-0.00557983, -0.00272785)	0.0014143823350000004	0.0014375976649999996	yes	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Staphylococcales; f__Gemellaceae; g__Gemella; s__Gemella taiwanensis
2	fea3411c847e6627afb5e78b88e2e9af	-5.107639240000003	-0.0032925330305	0.1372526705088916	0.0006443055184478	(-5.38925, -4.87638)	(-0.0043962, -0.00198063)	0.0011036669695000004	0.0013119030304999998	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Mediterraneibacter_A_155507; s__Mediterraneibacter_A_155507 torques
3	c5e3c5422835403541b0af331a2cc649	-8.01932473499999	-0.00323241227445	0.1965093769552226	0.0009423224962024	(-8.37541, -7.66522)	(-0.00500016, -0.00153993)	0.00176774772555	0.0016924822744500002	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Oscillospirales; f__Acutalibacteraceae; g__Acutalibacter; s__
4	5e69d50b5a886d1b222f36de84a9dc98	-8.69791098000002	-0.0031477311575	0.1739494423355232	0.0008878043756202	(-9.02427, -8.3775)	(-0.00488063, -0.00152903)	0.0017328988425000004	0.0016187011575	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Roseburia_A_166204; s__Roseburia_A_166204 intestinalis
5	90c2b51afe404951ec89bd52c7ae1f58	-8.475651344999987	-0.0030608249283849	0.1880691039348062	0.0009173913335164	(-8.88428, -8.15655)	(-0.00479607, -0.00134308)	0.0017352450716151004	0.0017177449283849	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Muricomes_149720; s__Muricomes fissicatena_A
6	b6d740387526e21887b761f90fbc914a	-7.983792174999992	-0.0028057544675	0.1545918930320067	0.0007563845822718	(-8.26135, -7.70515)	(-0.00420452, -0.0014535)	0.0013987655325	0.0013522544674999999	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Mediterraneibacter_A_155507; s__Mediterraneibacter_A_155507 torques
7	457d3865cf0a4bc602a07d8d5324388f	-8.195036310000008	-0.00264523273575	0.1822613903123311	0.0009121867693494	(-8.53886, -7.8604)	(-0.00430973, -0.000978582)	0.0016644972642500004	0.00166665073575	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Alitiscatomonas; s__Alitiscatomonas aceti
8	514b34f09e4acd2397d38273c630d338	-8.09789506500001	-0.0025366382416549	0.1910365924295547	0.000887825527348	(-8.44711, -7.73587)	(-0.00427382, -0.000927408)	0.0017371817583451002	0.0016092302416549	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Christensenellales; f__Aristaeellaceae; g__Limiplasma; s__Limiplasma merdipullorum
9	4c855814a58f4f324e8f0cfaab222e1f	-8.391001255000017	-0.0024997474525999	0.1897113788075849	0.0009153292552284	(-8.74968, -8.06366)	(-0.00418623, -0.000789617)	0.0016864825474001	0.0017101304525998999	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Oscillospirales; f__Ruminococcaceae; g__Negativibacillus; s__Negativibacillus massiliensis
10	c4e57b91cc2be5a2232b3612abdf4c0c	-7.678516554999997	-0.0024955293289349	0.1917187910862729	0.0009073115333593	(-8.05598, -7.32621)	(-0.00425497, -0.000836106)	0.0017594406710651003	0.0016594233289348999	yes	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Erysipelotrichales; f__Erysipelotrichaceae; g__Merdibacter; s__Merdibacter massiliensis
11	2a13ecb6c618ddf8154298c69336dd8e	-8.13243602499999	-0.0024918511378599	0.216056682494084	0.0010825410638413	(-8.5221, -7.73724)	(-0.00460758, -0.000548346)	0.0021157288621401	0.0019435051378599	yes	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Erysipelotrichales; f__Coprobacillaceae; g__Thomasclavelia; s__Thomasclavelia spiroformis
12	481e48328fe7a9837c7233de8f60fc23	-8.763911244999992	-0.0024365512028999	0.138779153460453	0.0006718359337012	(-9.00967, -8.49446)	(-0.00363504, -0.00106893)	0.0011984887971001	0.0013676212028998999	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Peptostreptococcales; f__Anaerovoracaceae; g__Hominibacterium; s__Hominibacterium faecale
13	d9b76ee51ff2b6961430bf352cc578f2	-9.090034040000024	-0.0023848024119999	0.1425924485117581	0.0007151049000783	(-9.34819, -8.83065)	(-0.00377058, -0.00114719)	0.0013857775880001	0.0012376124119999	yes	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__Streptococcus infantis
14	7efeb75fc542932a033b37b887994dc8	-7.875128764999996	-0.0023404322554499	0.1851751313376739	0.0008529660774425	(-8.22529, -7.53282)	(-0.00394617, -0.000727476)	0.0016057377445500998	0.0016129562554499	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Christensenellales; f__Aristaeellaceae; g__SFMI01; s__
16	c942f59feffce9c3ab527135de234101	-4.90395261000001	-0.0019017452385	0.0892147177694795	0.000447654649506	(-5.06194, -4.73039)	(-0.00272793, -0.00104809)	0.0008261847615	0.0008536552385	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Roseburia_A_166204; s__Roseburia_A_166204 inulinivorans
17	f7ef98bb6d0061b9368a72b1ff40aad0	-8.55139064	-0.0018953580146799	0.186092444492221	0.0008954936685301	(-8.8729, -8.1815)	(-0.00350238, -0.000168062)	0.0016070219853200997	0.0017272960146799	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Oscillospirales; f__Oscillospiraceae_88309; g__Lawsonibacter; s__Lawsonibacter sp000177015
19	40c85a458df8d5a935122ba778d4f334	-5.117624470000004	-0.0018647516472499	0.1866358894264954	0.0008765526250296	(-5.46, -4.7662)	(-0.00347277, -0.000285364)	0.0016080183527501	0.0015793876472499	yes	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides_H_857956; s__Bacteroides_H_857956 stercoris
20	1ef782a559e3e0a4ab42516e0a2c828f	-8.283733285000006	-0.0017369481583	0.1741396255877988	0.0008488675504521	(-8.61215, -7.95793)	(-0.00338316, -0.000107762)	0.0016462118417000001	0.0016291861583	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Alitiscatomonas; s__Alitiscatomonas aceti
21	19cb3add28813b2bf3e1f40a000d33c2	-4.12386988	-0.0016860749564499	0.1265466437029666	0.0006250176762254	(-4.35879, -3.89162)	(-0.00282182, -0.000450205)	0.0011357450435501	0.0012358699564499	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Oscillospirales; f__Ruminococcaceae; g__Hominimerdicola; s__Hominimerdicola aceti
22	399bcf0feb12a20ca0731d8d65268dae	-6.011996459999994	-0.00164294834248	0.1290233516808813	0.0006140063464191	(-6.24998, -5.78317)	(-0.00271649, -0.000503704)	0.0010735416575199997	0.00113924434248	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Oscillospirales; f__Oscillospiraceae_88309; g__Vescimonas; s__Vescimonas fastidiosa
23	b1f2146bef78066448576fceeb6b644b	-4.367335534999999	-0.00159031576865	0.0889881478659588	0.0004073937452088	(-4.52298, -4.19955)	(-0.00237239, -0.000867703)	0.0007820742313499999	0.0007226127686499998	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Mediterraneibacter_A_155507; s__Mediterraneibacter_A_155507 faecis
