	Feature	Intercept_mean	HEI_mean	Intercept_std	HEI_std	Intercept_hdi	HEI_hdi	lower	upper	credible	Taxon
363	a7b427a226422d10e62536b8d41e02fe	-10.267519304999992	0.0324792881424999	0.979394256043175	0.0150458014694794	(-12.1277, -8.50016)	(0.0042875, 0.0604542)	0.028191788142499903	0.027974911857500097	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Wujia; s__Wujia chipingensis
364	03fdbec0c9b63a05ae79f92c6d3a4cfc	-9.26011929000001	0.032827271341	0.928626784442165	0.0142471231133855	(-11.1634, -7.64573)	(0.00655402, 0.0602409)	0.026273251340999997	0.027413628659000003	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__COE1; s__
365	95fb1be2ae50b6d347649ea76c2a1874	-11.197465864999987	0.0332982580749999	0.605746825241579	0.0092821680198042	(-12.4081, -10.1258)	(0.0165194, 0.0518761)	0.0167788580749999	0.018577841925000102	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Mediterraneibacter_A_155590; s__Mediterraneibacter_A_155590 butyricigenes
366	51625f89e7332f46ab0641e10cede6ea	-9.770674220000004	0.0358039580355	0.9813826125432388	0.0151184127837718	(-11.6163, -7.91953)	(0.00666992, 0.063836)	0.029134038035500003	0.0280320419645	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Roseburia_D; s__Roseburia_D yibonii
367	ccce7fe8aa849bed027f6898300e0c45	-10.949963169999997	0.0361288623949999	0.7187835189529954	0.0110274139800585	(-12.2127, -9.52455)	(0.0161374, 0.0573546)	0.0199914623949999	0.0212257376050001	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Catonella; s__Catonella morbi
369	4d04d759f5a6615dac43060726239891	-7.740196974999991	0.0372317381499999	0.5256620414628578	0.0081348039326673	(-8.78838, -6.79517)	(0.0219036, 0.0530043)	0.015328138149999903	0.015772561850000096	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Lachnospira; s__Lachnospira eligens
370	4973330392dab23937c67af9843e5359	-10.458027655000013	0.0373160296199999	0.6341547604127485	0.0097448006167555	(-11.6248, -9.25245)	(0.0189902, 0.0554069)	0.0183258296199999	0.018090870380000103	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Lachnospira; s__Lachnospira eligens
371	f4dfb45b33372cdc0dc2fd20c0d0b448	-10.721839645000015	0.03827457659328	1.0646606581940663	0.016386991784371	(-12.6398, -8.87135)	(0.00915146, 0.0677368)	0.02912311659328	0.02946222340672	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Oscillospirales; f__CAG-272; g__Avispirillum; s__Avispirillum sp011957885
372	6fc765c81c8b663cedcd799094894748	-11.22889629499996	0.03832715437	0.8025043399765025	0.0122924036337066	(-12.6788, -9.69891)	(0.0154907, 0.0610612)	0.02283645437	0.022734045630000005	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Christensenellales; f__Aristaeellaceae; g__SFMI01; s__
373	bb769f42c78f86faa2801cb2c2abb8dc	-11.136224079999987	0.0385147816699999	0.7114098924481251	0.0109155872024056	(-12.4773, -9.8437)	(0.0181579, 0.0583118)	0.0203568816699999	0.019797018330000096	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Christensenellales; f__Aristaeellaceae; g__; s__
