Feature	Intercept_mean	bread_fg_eaten_mean	Intercept_std	bread_fg_eaten_std	Intercept_hdi	bread_fg_eaten_hdi
aed0d8840bb7da5eacd80c6f9a1f91ed	-9.858849634999991	0.0011946131292825007	0.19870763334184383	0.0014385234689662752	(-10.2171, -9.47186)	(-0.00159169, 0.00392894)
0b05a2e48cdc5f9e766bb0f4c209d4b4	-8.360511154999992	-0.0032844190014999983	0.12037331759204765	0.0008952139629606118	(-8.58318, -8.11896)	(-0.00497201, -0.00165204)
31c0a0bcf172474d82c69979df243e78	-6.166123440000006	0.00030788493477200017	0.105071668636062	0.0007604206952250545	(-6.35531, -5.96219)	(-0.00105059, 0.00175147)
f9b9b7db378357774e672fe5ba242b12	-9.730674114999989	-0.0014590898985499983	0.1736475630961079	0.0012716572203599055	(-10.0465, -9.37689)	(-0.00380207, 0.00100434)
95f975f50235610bca818dcc9d97f7d6	-8.803050130000024	-0.00012775371570800028	0.2757606407875915	0.0019786764762866954	(-9.26238, -8.25832)	(-0.00387469, 0.0034194)
ecaa9f4e15a28f212d9bd60f749191ab	-7.194016475000002	-0.001225920485709498	0.15765139854477786	0.0011492157853499859	(-7.47378, -6.88759)	(-0.00330134, 0.000936327)
a6fa2de5f4576d1d77b1616786e3dd52	-8.721051790000006	-0.00030141116139550006	0.10778049927002518	0.0007953035665358158	(-8.91392, -8.5125)	(-0.00175624, 0.00120877)
1fa555f9a74d47a6ca7a65a347bc885f	-5.857739180000003	-0.0005937989340249995	0.1245802895747461	0.0008968166122521519	(-6.07853, -5.626)	(-0.00227622, 0.00105902)
149e7d5e484d157f2ac6140a2111618e	-4.482588310000002	0.00203661527602	0.1322701555304291	0.000969834208653495	(-4.73916, -4.23298)	(0.000310231, 0.00397924)
605c54065160b61d47c4d5f87ffbe6bb	-9.081873769999996	0.0010593740286005016	0.18427660570888302	0.0013329113022884926	(-9.45196, -8.75138)	(-0.00142266, 0.00354124)
5034598009be77942a505e7c9978b06b	-7.698344579999997	-0.003121942172910009	0.15807107057309258	0.0011794548766857224	(-7.98527, -7.39291)	(-0.00526898, -0.000821578)
8526f1f5fd2dcff7e7a73db743c829d2	-6.400525470000009	-0.0003077151157949497	0.13819088472138508	0.0010094438833190133	(-6.68842, -6.16726)	(-0.00210743, 0.00172019)
