Feature	Intercept_mean	vegetables_fruits_mean	Intercept_std	vegetables_fruits_std	Intercept_hdi	vegetables_fruits_hdi
96169c3701e79f42346c41eb7b5bf2af	-10.167915759999987	0.0018861626550000015	0.1845927869745252	0.00047264530216240295	(-10.5398, -9.85325)	(0.000998908, 0.0027605)
d05c86b5bfc092d8677507fb1eae8d66	-5.933788844999981	0.0007372482704777505	0.20503424027175532	0.000522684353740407	(-6.28874, -5.53098)	(-0.000264241, 0.00166059)
25dd2ae928b2e5e1ac2e28dbe2112991	-6.558980604999999	0.0005929660869800004	0.0907808341456718	0.0002304049201937081	(-6.7156, -6.38365)	(0.000153468, 0.00100105)
cebcb0fe524fb1cf0bfb5463ae228bed	-9.850788589999981	0.002654824860000001	0.19581524900199138	0.0005026040171965209	(-10.2304, -9.50945)	(0.0017034, 0.00359815)
90104f2fbcc925a6619e805c7a625c57	-9.017211494999998	0.00124447582165	0.2224288933115816	0.0005728190091340932	(-9.42675, -8.59966)	(0.000152831, 0.00228021)
4c2189b6b5ced3cb80093414e9449de9	-6.109587919999995	0.00044970692385499936	0.0881465161624304	0.00022422810226155102	(-6.27992, -5.95049)	(7.23466e-06, 0.000850757)
c4e57b91cc2be5a2232b3612abdf4c0c	-7.484663130000004	-0.001837921811000002	0.22643825411268984	0.0005784822337525133	(-7.87827, -7.05005)	(-0.00282239, -0.00063893)
1600415004247da005dd77bd44c633d9	-8.339628310000013	0.000903567612700002	0.10559520215257848	0.00026869642600938035	(-8.53366, -8.14355)	(0.000442491, 0.00143308)
3b092a59cd0e2d57483420cc994ec49c	-5.737646540000001	0.00014020824074949988	0.143883215085806	0.0003727506693702836	(-5.99738, -5.45853)	(-0.000529255, 0.000903051)
2c5c5d710e1b9229efa72f98ca7b4e71	-8.98991708499999	0.00044006397074100015	0.2415025912547374	0.0006182813071518805	(-9.43814, -8.53345)	(-0.000694405, 0.00156574)
db093685d2f3295cfa4da0a44d3d9ad0	-8.437795305000009	0.0010369431040149987	0.14803285723786785	0.0003842599599991267	(-8.70742, -8.16491)	(0.000332289, 0.00177116)
63a2de21003c952fd04b694d8444e66f	-6.891950419999995	-0.0006375115392239999	0.16303038923441115	0.0004198211696415085	(-7.19391, -6.57951)	(-0.00146186, 0.000140406)
59196a586276f0be745d0e334fc071c6	-3.323089149999999	-0.00018458452342331476	0.10430431264371319	0.0001779161695313593	(-3.4199, -3.21335)	(-0.000421872, 9.79401e-05)
8507091bac6b1be88f3d360d6d535d0e	-8.498876130000001	0.0011802372195000015	0.11254934136956596	0.00028159525730074217	(-8.70661, -8.28698)	(0.000645477, 0.00170354)
8f649d1053a0ead08b37f8e06fbb2818	-8.279879420000011	-0.00029180450087999915	0.12366379550686446	0.00031579493062799957	(-8.50814, -8.04301)	(-0.000864898, 0.000306441)
8a70333f85e6869971ef357eceadf3ef	-8.105052009999993	0.00021812258123350003	0.1609397123110387	0.0004115460192280669	(-8.3978, -7.80519)	(-0.000533736, 0.00101089)
8e0da29b36fbc3879561566e87f11ea7	-9.131847264999985	0.0010615172216849992	0.1881030334132593	0.00048290218726253806	(-9.46522, -8.74425)	(0.000193, 0.0019492)
5093cebf67405c910fb68525ffa6dc3d	-10.022146405000004	-0.000378274295806	0.17521926194150578	0.00045698984328733713	(-10.3221, -9.67264)	(-0.00128119, 0.000403139)
bde648dc2bd51d522327b0bb99e98340	-9.611198064999998	-0.0003125503728044998	0.15833948938627324	0.0004111365156733414	(-9.91603, -9.32443)	(-0.00109824, 0.000454427)
8720f9ecd2331ce68e2896df1bf2d977	-3.4555659349999996	-0.0006248970555399992	0.17308548333215504	0.0005031482186358151	(-3.60628, -3.29678)	(-0.000977694, -0.000277507)
3af2ddaf4af4b5ae4100439a9c3d4099	-8.648081950000005	-0.0008878584939499988	0.15406859481282204	0.0003960405810097361	(-8.90457, -8.3396)	(-0.00159613, -0.000113542)
de24ab68045830f7ea823f771a1f7dd3	-6.193231365000009	-0.0004865524415100009	0.10522444048882734	0.00024533785455667676	(-6.38716, -5.98806)	(-0.000950629, -3.07797e-05)
aec9d6920c8746590e4dff84ba121b90	-7.830577060000004	-0.00022402529467305019	0.1485480542742192	0.0003708862480419985	(-8.09812, -7.55084)	(-0.000911884, 0.00046102)
192522c9b7c41f7a761f8a2ba792268a	-6.821428905	2.4006843306200025e-05	0.14168376672417685	0.00035749619502441205	(-7.07451, -6.56036)	(-0.000595761, 0.000715565)
458157e555a80f9ba01d9da37ef787eb	-5.404521195	0.0011116049077950021	0.18757408060849448	0.0004837038637761877	(-5.74839, -5.05777)	(0.000279191, 0.00205302)
3017f87a3b0f5200ed54eca17eef3cbb	-8.641465854999996	-0.00016264646512279996	0.1924411607953688	0.0004885496632777725	(-9.01245, -8.30221)	(-0.00112304, 0.000672676)
c5e3c5422835403541b0af331a2cc649	-7.724403729999996	-0.0025453284030000018	0.23012200609239258	0.0006006029458468547	(-8.14407, -7.30029)	(-0.00363314, -0.00141725)
be7fc30c58dc772f88007fdefcf21a96	-7.948424374999993	7.429436269854992e-05	0.11017156481011499	0.0002816973414375499	(-8.1637, -7.75953)	(-0.000440911, 0.000615748)
3d766867c97f511431bf97e059d6498f	-5.62593210499999	-0.00030914091925199994	0.11364752097480597	0.00029142091822906995	(-5.8556, -5.42407)	(-0.000827751, 0.00026529)
9099a7f671b923c7b07c12508f17270a	-7.788096205000002	-0.0009008370243399997	0.15330437126268745	0.000402795246716103	(-8.08668, -7.51475)	(-0.00165532, -0.000202104)
4973330392dab23937c67af9843e5359	-8.663698074999987	0.0017197152924999994	0.17103503484971835	0.0004397847184581689	(-8.96607, -8.35134)	(0.000946008, 0.00256813)
2cf53730a41137e7ad95ed3680541d80	-9.422558259999986	0.00072052478251165	0.24029050820220177	0.0006216968983768304	(-9.89708, -8.99534)	(-0.000470812, 0.00183531)
2a0968119cb66a61a416f8d924c224ac	-6.49311189	0.000806786296692499	0.2764315032031042	0.0007081128935404417	(-6.96746, -5.90814)	(-0.000539696, 0.00213936)
a4e2a4e1321a599651edf92f6999e78e	-8.059134330000004	0.001376948530995001	0.26388383575590807	0.0006608265850962874	(-8.52871, -7.52822)	(0.000143572, 0.00260096)
782772ed674928794b78f5a59ee3d08c	-9.749011624999978	0.0009274457175096997	0.1671657549763389	0.000426761427468792	(-10.0578, -9.45196)	(0.000176697, 0.00176505)
ab5c396eaf731e031c9764a05b798753	-8.875328804999993	0.0008910785578475012	0.16190693291061384	0.0004148553596797458	(-9.20113, -8.58493)	(0.000118626, 0.00167372)
04195686f2b70585790ec75320de0d6f	-5.476019489999993	-0.001192916343355001	0.16040200971976593	0.0003734566499048044	(-5.77553, -5.18945)	(-0.00183086, -0.000462523)
9f4d14b114e7499772a797790d81c1db	-5.156702544999992	0.0005073630831365003	0.07600679753135875	0.00019626065326667203	(-5.28031, -5.00738)	(0.000126572, 0.000851743)
b1f2146bef78066448576fceeb6b644b	-4.240910045000004	-0.0011745413265000003	0.099599823132112	0.0002504846138596957	(-4.43249, -4.07107)	(-0.00162239, -0.000697783)
3bff9ab82e7f2a76cc22e687ac7b72fd	-7.486201840000002	0.0020470910730000015	0.2695123410182071	0.0007016250173592365	(-7.96939, -6.96685)	(0.000765508, 0.00335027)
c1365ec008032ee718dcafaf5ac17adb	-7.233762164999983	0.0007176561334134985	0.11796632039002823	0.0003033919866905087	(-7.45834, -7.01609)	(0.00012284, 0.00123569)
cc968157f7691aab95df444e8cd103e2	-5.670249794999991	0.0008928151619999997	0.07945874571504367	0.00019964185383072785	(-5.81925, -5.52738)	(0.00055832, 0.00129615)
09ee2c2d76be17c9ede2d4c57412adeb	-9.568669105000023	0.0015009113376500012	0.2405013971650664	0.0006145603192868575	(-10.0545, -9.16133)	(0.000283564, 0.00261622)
d9b76ee51ff2b6961430bf352cc578f2	-9.042921410000002	-0.0013110828902499995	0.17447984122531732	0.00046537083965826674	(-9.37229, -8.70318)	(-0.00214627, -0.000413578)
d2cccbadb958c9c6547274fa10531f74	-6.979221214999997	-0.00024933539031325	0.1253553409754598	0.00031781267837645034	(-7.21343, -6.7325)	(-0.000853541, 0.000354285)
2268b83b6cb307bfd1cd008dae1ce4b3	-7.292475320000005	-0.00011596087542530014	0.20666739501986664	0.0005381270163467618	(-7.70142, -6.92287)	(-0.00112346, 0.000886531)
e9ad916c93ff127ade2a8283db7603a1	-6.574308634999993	0.0010777350504084994	0.33881026929579156	0.0008742358997507286	(-7.20128, -5.95967)	(-0.000386942, 0.00279442)
624d0040eafc828499b5009791d96b85	-9.17939139499999	0.00056958318903	0.11844625050040189	0.0002959926033299159	(-9.4155, -8.97014)	(5.04604e-05, 0.00114286)
bc5146d3526a9ef5179457a2077b1b46	-9.098721400000004	-9.976674125999999e-05	0.11694336505650922	0.00029593158381014507	(-9.33257, -8.89313)	(-0.000654161, 0.000458588)
7bbb537e486b770d58232a6c683a3a9f	-7.299767340000007	0.000241822924938	0.1241277336247802	0.000320425676237067	(-7.52722, -7.06202)	(-0.000319783, 0.000899912)
30c16856bd5bae4cd2f1182341b30ffc	-10.096690080000005	0.0026751620535000035	0.2453377292397024	0.0006184077103665566	(-10.5378, -9.6235)	(0.00144848, 0.00375091)
ac5402de1ddf427ab8d2b0a8a0a44f19	-3.5521738949999975	-0.00021852545356899997	0.10760371558212549	0.0002677705499392335	(-3.74692, -3.36014)	(-0.000682151, 0.000304476)
d0037fe3397f56b52e971759e3f2f7a8	-8.738598850000004	-0.0002914151328831502	0.23296808731235602	0.000608400477241761	(-9.21164, -8.35451)	(-0.00136278, 0.000881869)
3d7f3a3956e66e4728521a97abd9f07b	-7.902911680000009	0.0010800663660650023	0.2875771292920867	0.0007520812561304921	(-8.40636, -7.33611)	(-0.00025403, 0.00255952)
3e15d94435169ddada1e508dd8b83a55	-8.523045914999992	0.0012309413824999967	0.1777461346487252	0.0004494855333950755	(-8.83817, -8.20158)	(0.000351307, 0.00198669)
ed1528f4822674c9e1da64b84c778e9f	-6.027582864999989	0.00021050770476800009	0.16478144061101593	0.0004094438587272118	(-6.34218, -5.72897)	(-0.000531835, 0.000993939)
477734397215c70bdacce28d5685cc6e	-6.038995559999999	-0.00045510211042029973	0.28661819002880207	0.0007448729559190746	(-6.55207, -5.48137)	(-0.00181215, 0.00101411)
1243750138937650754b619370565800	-7.228216194999998	0.002848754340000004	0.1771398189577147	0.0004632298830394735	(-7.55327, -6.89958)	(0.00198013, 0.00368362)
997c1b9bc29e50b9096303c708bb54e8	-9.535661859999992	8.542190085049994e-05	0.16630495391460964	0.0004270316150370449	(-9.84532, -9.21406)	(-0.000739343, 0.000904106)
8aff935557eab67b0baa4553b8518105	-9.398581634999996	0.0016454949695	0.19879927507859962	0.0005153713871195012	(-9.75335, -9.02576)	(0.000735489, 0.00261696)
39bb3fb5b2257fd2eacca408dc42c5d1	-5.092189535000001	-0.0008330458923650004	0.1408545635765267	0.00036361074090457933	(-5.34614, -4.82378)	(-0.00155079, -0.000212653)
b9024a1f377b62508864cfea59b16a31	-7.885051140000012	0.0006920390215000005	0.1133175852006227	0.00028526141203584677	(-8.08629, -7.66799)	(0.000171503, 0.00122725)
7ab1bc6052053650189083370055ae66	-6.386165214999999	0.000727148929534005	0.18872833463169678	0.0005037439949324212	(-6.71205, -6.0362)	(-0.000263947, 0.0015857)
