	Feature	Intercept_mean	CV_fruits_fg_eaten_mean	Intercept_std	CV_fruits_fg_eaten_std	Intercept_hdi	CV_fruits_fg_eaten_hdi	lower	upper	credible	Taxon
30	6fc765c81c8b663cedcd799094894748	-8.183614609999992	-0.0058826302004999	0.1969280190713039	0.0018902221537662	(-8.59032, -7.84042)	(-0.00911212, -0.00186384)	0.0032294897995000993	0.0040187902004999	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Christensenellales; f__Aristaeellaceae; g__SFMI01; s__
31	69d052e452e79d571cba042af265d50c	-4.581311075000004	-0.0058130588274999	0.2442399257570196	0.0023399083546347	(-5.0315, -4.13054)	(-0.00966492, -0.00126859)	0.003851861172500101	0.0045444688274999	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Coprococcus_A_121497; s__Coprococcus_A_121497 eutactus
32	e5a43b018c81cedd19e9a5354d32d469	-5.899227745000002	-0.0057686812205999	0.1979544737386981	0.0018923236426087	(-6.25579, -5.52662)	(-0.00946518, -0.00245428)	0.0036964987794001003	0.0033144012205998997	yes	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides_H_857956; s__Bacteroides_H_857956 cellulosilyticus
33	8aff935557eab67b0baa4553b8518105	-8.270736874999999	-0.00570938185156	0.1877611010595229	0.0017647942632754	(-8.61005, -7.91026)	(-0.00894182, -0.0023466)	0.0032324381484399997	0.00336278185156	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Coprococcus_A_187866; s__Coprococcus_A_187866 catus_A
34	4973330392dab23937c67af9843e5359	-7.506287139999999	-0.0056928935649999	0.1454822697349076	0.0013913167350275	(-7.76526, -7.22661)	(-0.00846021, -0.0032785)	0.002767316435000099	0.0024143935649999	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Lachnospira; s__Lachnospira eligens
35	55d4d3011e1f3bb8e4e5089b801b61a4	-8.902047370000007	-0.0056587230411	0.209328201625302	0.0020677328565831	(-9.24486, -8.44393)	(-0.00962359, -0.00182864)	0.003964866958899999	0.0038300830411	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__UBA3402; s__UBA3402 sp003478355
36	97f26830027d30dfbd60b54895af0660	-8.548735749999993	-0.0056426312874999	0.1698478561587915	0.0016837420248302	(-8.8737, -8.22428)	(-0.00884863, -0.00256569)	0.0032059987125000996	0.0030769412874999003	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Butyribacter; s__Butyribacter sp003529475
37	cae14798faeabb8e1b8840e712839921	-6.696978835000012	-0.0056204453759499	0.1712074703247285	0.0016303579047504	(-7.00827, -6.35669)	(-0.00881864, -0.00275069)	0.003198194624050101	0.0028697553759498996	yes	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__Alistipes_A_871400; s__Alistipes_A_871400 finegoldii
38	b423592b0ae631882095792b27729b9c	-8.26015615999998	-0.0054980082762499	0.2626201850213618	0.002536213331683	(-8.76465, -7.77121)	(-0.0102168, -0.000712564)	0.0047187917237501	0.0047854442762499	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Oscillospirales; f__Oscillospiraceae_88309; g__Dysosmobacter; s__Dysosmobacter sp000403435
39	b1a153ff5a21342991138e7f7dd2658e	-6.182949489999993	-0.0054091241095499	0.2534338307610881	0.0024095762343837	(-6.67084, -5.70317)	(-0.0102429, -0.00102427)	0.004833775890450099	0.0043848541095499	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Christensenellales; f__CAG-138; g__; s__
