Feature	Intercept_mean	CV_fruits_fg_eaten_mean	Intercept_std	CV_fruits_fg_eaten_std	Intercept_hdi	CV_fruits_fg_eaten_hdi
6a17479edbe461431433bddb084f731e	-6.379093980000006	-0.0009019240503235	0.13935885004462256	0.0013473201200788268	(-6.6281, -6.1171)	(-0.00338006, 0.00162144)
35513c8de34a49ef37dde85737e6aef9	-7.877539085	0.0013282504167870025	0.1952681901831755	0.001809237950095171	(-8.23467, -7.51689)	(-0.00223277, 0.00453347)
69536042153447ceb692aa53159ce0c2	-7.448575700000001	0.0013327987358669987	0.0921788829060648	0.0008842182576688512	(-7.62124, -7.2681)	(-0.000348854, 0.00292847)
0f92fcc184a951ff8b0914467ad2f8f9	-7.032943575	0.0005023540181140002	0.11353732611423172	0.0010735912817627189	(-7.24625, -6.82432)	(-0.00153553, 0.00244295)
e9d9bafcf863ec0908ce4e20e6386ff9	-9.161702420000006	-0.0033824471435499933	0.14371265203434108	0.0013830699761007096	(-9.44801, -8.90352)	(-0.00595321, -0.000656828)
979578981da3916b394bf24c32bace21	-6.467840515	-0.0034810322767500055	0.19593306800942184	0.001877521211197055	(-6.84204, -6.10245)	(-0.0070048, 2.85682e-05)
5860dac317300b1fe6094e958240cc7f	-7.32230216500001	-0.003380738330500004	0.09331331061356023	0.0008900328678068158	(-7.50406, -7.15525)	(-0.00494844, -0.00160085)
3a1461e8439091ad6b93af0ddb3849eb	-6.568622054999997	-0.00549102962848001	0.2603408310523476	0.0025259042806301873	(-7.0693, -6.06152)	(-0.00995301, -0.00041117)
d32627161d829a1488c2a047669cb29f	-6.394455524999988	0.0017815170678225003	0.2833395247017695	0.0027437537860568045	(-6.9107, -5.88272)	(-0.00309419, 0.00687417)
e2c3ff4f647112723741aa72087f1bfa	-3.660796774999992	0.0036323539875000085	0.10656187623746766	0.0010004161322751913	(-3.86419, -3.46217)	(0.00169562, 0.00547059)
426bd7119a31b73ef734771a071a216c	-5.513194895000002	-0.0033686166527500012	0.1482822239821381	0.001432085229300064	(-5.79446, -5.25069)	(-0.00601518, -0.000727366)
aed0d8840bb7da5eacd80c6f9a1f91ed	-9.58864379499999	-0.0012092766127649987	0.1791180014070277	0.0017204878822598738	(-9.92692, -9.25805)	(-0.00459497, 0.00182487)
0b05a2e48cdc5f9e766bb0f4c209d4b4	-8.868881279999973	0.0010851215649931004	0.11155103691208615	0.0010509278595113147	(-9.06045, -8.65492)	(-0.000826576, 0.00294875)
31c0a0bcf172474d82c69979df243e78	-6.2641611550000045	0.001421025958484506	0.09663793208319367	0.0009101654977300336	(-6.43737, -6.07795)	(-0.000231088, 0.00312948)
f9b9b7db378357774e672fe5ba242b12	-9.895883600000001	-0.00022878929635050045	0.1565213504444042	0.001483708069253445	(-10.2128, -9.63373)	(-0.00311238, 0.00250704)
95f975f50235610bca818dcc9d97f7d6	-8.623767769999985	-0.0020607388946799984	0.24501721123979658	0.0023087672620339885	(-9.09383, -8.17866)	(-0.00610841, 0.00259496)
ecaa9f4e15a28f212d9bd60f749191ab	-7.016116334999999	-0.003607129080199999	0.12115419514204939	0.0011634846084990454	(-7.25724, -6.79398)	(-0.00566865, -0.00122973)
a6fa2de5f4576d1d77b1616786e3dd52	-8.704138625000006	-0.0005946608476099993	0.09330654809958075	0.0008849063543762851	(-8.87821, -8.52428)	(-0.00214709, 0.00112508)
1fa555f9a74d47a6ca7a65a347bc885f	-5.628420349999997	-0.0033068520632500036	0.11130258847698694	0.001062379207739142	(-5.83257, -5.41398)	(-0.00533943, -0.00138438)
149e7d5e484d157f2ac6140a2111618e	-4.274793769999998	0.000595935561324001	0.09804163718893678	0.0009434122327959596	(-4.44827, -4.08056)	(-0.00121665, 0.00233589)
605c54065160b61d47c4d5f87ffbe6bb	-9.044485705000007	0.001071124754447499	0.1757556920560553	0.0016525673722958734	(-9.38018, -8.69872)	(-0.00232117, 0.00399589)
