Feature	Intercept_mean	phosphorus_eaten_mean	Intercept_std	phosphorus_eaten_std	Intercept_hdi	phosphorus_eaten_hdi
68ee181a51a55ca3814763c9214cfd8a	-8.839172605000009	0.18239004172651507	0.22443601547805098	0.23129054268899674	(-9.25163, -8.43223)	(-0.236537, 0.625229)
88956ab21ebb7e44b2dd317dd412818a	-8.651099464999985	0.17532775524624478	0.29053897604256784	0.3004482833492045	(-9.15111, -8.0776)	(-0.401427, 0.717179)
ca9dec36ad0aa5a1473144ddcb74951d	-5.404384215000006	0.2544414550199999	0.16804963731345487	0.17449463987686548	(-5.673, -5.0624)	(-0.0693329, 0.556165)
ae171d16e3cb68ad19636a58839a1ef1	-9.683662680000003	0.7648371293949989	0.34577020392757624	0.3573521781165527	(-10.2981, -8.99528)	(0.0561387, 1.41953)
77f4d90aa6eb8080927f59ee8bbac375	-9.658120814999998	0.5153372322349994	0.19014956201628722	0.19418483899657737	(-10.0223, -9.31548)	(0.161502, 0.871156)
a7b427a226422d10e62536b8d41e02fe	-8.50512605499998	0.3803373865774988	0.4274466643377707	0.4415246073937996	(-9.31985, -7.70985)	(-0.440185, 1.21371)
2480f3aa1e7784b461d9b5b83a6bfc81	-8.058634005000004	0.14080850443600013	0.2986764708869952	0.31047847329464306	(-8.61168, -7.52015)	(-0.459117, 0.654528)
9000b563231e32a7003bf2ef20bf9a60	-7.735202965000009	0.32878507962499953	0.22263733848045092	0.22932881213541048	(-8.12835, -7.30032)	(-0.131452, 0.722624)
a186bb74dfce512f83043f7b366c60c4	-5.882286614999996	-0.49849360753519956	0.5461346001795643	0.5642314696545806	(-6.86566, -4.84067)	(-1.63256, 0.442441)
aad2c8fbb5e1201340fe4357731fc9ee	-8.121345289999995	0.13730858823150005	0.36422390316083886	0.3773671865080765	(-8.82924, -7.4461)	(-0.601538, 0.797693)
490d2aec117bd7289577684ba3cc1b64	-7.465686315000003	0.6541427837245007	0.34908770498138536	0.3612963075807752	(-8.14263, -6.83739)	(0.0560019, 1.39385)
457d3865cf0a4bc602a07d8d5324388f	-8.529557635000003	-0.12216583119399978	0.37204400395202847	0.38885073568060824	(-9.22187, -7.84602)	(-0.828692, 0.576788)
552e00cb506f739acaf08aa5641f9d84	-6.6612317649999975	0.015975923059000023	0.24739398916896668	0.25575946344591494	(-7.16873, -6.22221)	(-0.510099, 0.467248)
9dc78fd8f2f7cb10e190e77af61c7ecd	-8.389947739999995	0.25571349294750007	0.16338640730639847	0.16927526523474296	(-8.69683, -8.10378)	(-0.0689281, 0.54878)
a3607a88a8ed64e24a374847b23e404f	-5.840899085000006	-0.6649535684000001	0.17676589477134083	0.18225367403771608	(-6.19405, -5.53071)	(-1.00624, -0.337342)
5bb151262388870fd53a84ea6f1ffdf2	-9.459796525000005	0.04428287709085001	0.36985578142740244	0.3835966036249136	(-10.2049, -8.80216)	(-0.677657, 0.783446)
f7962a90f4519ec1d1a9c7b8ef7bf396	-9.31529624499999	0.27418735735194993	0.25571401505089625	0.2645726221439664	(-9.80079, -8.85143)	(-0.264891, 0.730316)
77ad88eed91eef009bf64f101c96baa6	-4.887711215000002	-0.33765067811500105	0.38312136927163676	0.3973746038298732	(-5.572, -4.14684)	(-1.09435, 0.388588)
08be83d0a527ddd1da0861135192e593	-8.683565695000016	0.17595304569899992	0.43288067089905613	0.4478932372147013	(-9.50693, -7.87807)	(-0.702387, 0.961959)
b61862b15d33865612e76c1db7b995a1	-9.457477509999993	0.4948119425500002	0.19444058169888276	0.19901147007622594	(-9.81525, -9.08678)	(0.130085, 0.874382)
14f11556b1fc9132c5ab27b67a2479bf	-8.928026214999994	-0.2839079916115003	0.23163882507499428	0.24202571727689545	(-9.32541, -8.45984)	(-0.712291, 0.200421)
514b34f09e4acd2397d38273c630d338	-6.957219230000001	-1.7653154969999987	0.41903413130424966	0.4418702866948256	(-7.70119, -6.15101)	(-2.61178, -0.970067)
ba88d4e4e6a24ecc2a5aab6bdfbb77f5	-8.116234385000007	0.3329020101064997	0.17080433128911504	0.17619999147649448	(-8.43414, -7.79788)	(0.0184292, 0.668056)
