Feature	Intercept_mean	fat_eaten_mean	Intercept_std	fat_eaten_std	Intercept_hdi	fat_eaten_hdi
08be83d0a527ddd1da0861135192e593	-8.493910474999996	-0.00027001616750500025	0.4964289073863695	0.005112541233905294	(-9.41521, -7.56869)	(-0.00956247, 0.00964939)
b61862b15d33865612e76c1db7b995a1	-9.094263899999993	0.0011811639059910038	0.2386779273365888	0.0024424169648581467	(-9.52099, -8.61453)	(-0.00337897, 0.00570251)
14f11556b1fc9132c5ab27b67a2479bf	-8.542126510000012	-0.006977695407099999	0.2879303328791879	0.002946594521842987	(-9.04428, -7.97153)	(-0.0125105, -0.00160643)
514b34f09e4acd2397d38273c630d338	-5.852095794999993	-0.02957141584999999	0.5342239476871734	0.005512137357569544	(-6.89234, -4.9235)	(-0.0391818, -0.0187756)
ba88d4e4e6a24ecc2a5aab6bdfbb77f5	-8.13999530500001	0.003580453263000006	0.19539895617762892	0.002005598002823775	(-8.50811, -7.78817)	(-2.22027e-05, 0.00738989)
1c94105978b1aa2095e3c0096774f240	-7.801732750000005	-0.0043472258723050005	0.288652337968771	0.0029749161233893883	(-8.34045, -7.25699)	(-0.00982803, 0.00131083)
27b636c66fa117272ed27920bad78969	-8.513516730000005	0.0012808361815700023	0.38930526316068126	0.004027095753832533	(-9.24111, -7.78187)	(-0.00636405, 0.0087065)
7201d53bd647437ec3de879774eba498	-6.555375509999998	-0.001797353441440003	0.49906038718589896	0.0051518046769359165	(-7.3652, -5.49933)	(-0.0115076, 0.00720871)
f8529e2e737999b4a7d06420482d4af3	-8.525671574999986	0.00048676993470349924	0.45092318858123676	0.004605368602368154	(-9.34805, -7.69181)	(-0.00748424, 0.00969858)
959d48a11e3b26c9268f0bd1dae6ec40	-4.174798295000003	-0.00046412295199849986	0.16080958701813453	0.0016573465591009267	(-4.46094, -3.85753)	(-0.00344549, 0.00288657)
bd0f4e14387ee1ac7e5fe586cadbbed4	-8.643550649999984	-0.0025555504779859956	0.18948518838467956	0.001951697879739854	(-8.9728, -8.28214)	(-0.00624959, 0.000908506)
66047b69a772cae3e37186eb74254da7	-9.257162930000009	0.004324778688935001	0.4001590665556827	0.004105578763028106	(-9.99933, -8.50887)	(-0.00408466, 0.0114491)
4207ad1746e5fbce9c5ed5efe1e357d9	-7.222168619999995	-0.0017870925247079976	0.20319432219182598	0.002087782833369397	(-7.57589, -6.81047)	(-0.00564881, 0.00226028)
30207d209491dfb7de83344e77fd6fbd	-6.242909020000011	-0.0007355370957349991	0.21229784295851795	0.0021869721359371597	(-6.64808, -5.88537)	(-0.00496195, 0.0030037)
3e93fd55a231bb99b67a666bad8446a8	-8.13940305499998	-0.0013116614186260034	0.21122802233680282	0.0021705705089181304	(-8.55872, -7.77588)	(-0.00526502, 0.00276452)
d39f37b814ebd81091a949f8bd9d1710	-5.6895549450000145	-0.005866818914815014	0.29555513657437404	0.0030351875531227394	(-6.31636, -5.17138)	(-0.0113687, 0.000217616)
706b0d627a9ba61b18e6b7b39622ac1f	-8.70821208999999	-0.003099167854560003	0.31946984947570867	0.0032830268998576117	(-9.36316, -8.16741)	(-0.00898815, 0.00318601)
32382a0f5831da5faee464d011b5616c	-5.612192395000011	-0.0031151933495054975	0.6385892822290512	0.006613845853971575	(-6.91432, -4.44224)	(-0.0158018, 0.00969615)
fcd575ef43a2ae77d9b7c10639e80fd8	-9.847095100000024	0.00021099981108999984	0.35672190615827065	0.003700379736625564	(-10.5077, -9.14514)	(-0.00675462, 0.00714796)
fdb1c35a8dab336d65ed22d796e71e4b	-6.2155581950000105	-0.005481184945719982	0.4782190730880485	0.004903038079850103	(-7.09425, -5.339)	(-0.0140991, 0.00389326)
25def15fb42bed6855ede4893d27a21d	-4.877521295	-0.004243724032999998	0.356868464059481	0.0036633422087642116	(-5.57236, -4.25058)	(-0.0111293, 0.00243607)
2a13ecb6c618ddf8154298c69336dd8e	-8.269111170000008	-0.002913971332080003	0.47412025195759255	0.004842769713177328	(-9.11598, -7.34772)	(-0.0116744, 0.00619602)
9ad89cc951aa3031c19c59c95e401614	-9.19652927500001	-0.0048117526715799955	0.3444430060484959	0.0035621541039419493	(-9.78513, -8.54376)	(-0.0112837, 0.00181745)
55d4d3011e1f3bb8e4e5089b801b61a4	-9.93388489999999	0.005341034336	0.3155655582342437	0.0031921638854626876	(-10.4892, -9.33321)	(-0.000329175, 0.0114753)
