	Feature	Intercept_mean	daily_HEI_mean	Intercept_std	daily_HEI_std	Intercept_hdi	daily_HEI_hdi	lower	upper	credible	Taxon
30	40c85a458df8d5a935122ba778d4f334	-4.023384830000004	-0.02495037839355	0.7171554052752245	0.0124184253922929	(-5.37086, -2.82356)	(-0.0455228, -0.00094073)	0.020572421606450002	0.02400964839355	yes	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides_H_857956; s__Bacteroides_H_857956 stercoris
32	b3d06445a910a9a444919e41f5da39c3	-8.595828400000016	-0.024082953925	0.5856328620752417	0.0102341196428528	(-9.57454, -7.35175)	(-0.0437974, -0.00515629)	0.019714446075	0.018926663925	yes	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Lactobacillales; f__Aerococcaceae; g__Granulicatella; s__Granulicatella adiacens
33	ef6752ce31dcb9e16b1155bbaa1a268d	-7.429649179999997	-0.023759850943	0.7264979568827616	0.0125743437683589	(-8.80462, -6.05152)	(-0.0469031, -0.000533208)	0.023143249057000003	0.023226642943	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Mediterraneibacter_A_155507; s__Mediterraneibacter_A_155507 faecis
34	de24ab68045830f7ea823f771a1f7dd3	-5.025679825000004	-0.023531172647	0.4969082043531973	0.0085883113300815	(-5.9115, -4.1196)	(-0.0384784, -0.00715997)	0.014947227353000001	0.016371202647000004	yes	d__Bacteria; p__Actinomycetota; c__Coriobacteriia; o__Coriobacteriales; f__Coriobacteriaceae; g__Collinsella; s__Collinsella aerofaciens_F
35	481e48328fe7a9837c7233de8f60fc23	-7.887701604999996	-0.02269094494048	0.5624423191476386	0.0098449223894018	(-9.00743, -6.86144)	(-0.0397767, -0.00193676)	0.017085755059519998	0.02075418494048	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Peptostreptococcales; f__Anaerovoracaceae; g__Hominibacterium; s__Hominibacterium faecale
37	9ac5fec396208e598ab2e2d26985d0df	-6.876398945	-0.02207959566	0.3203209191082232	0.0055619790658401	(-7.44768, -6.25437)	(-0.0320905, -0.0114311)	0.010010904340000001	0.01064849566	yes	d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Actinomycetales; f__Actinomycetaceae; g__Pauljensenia; s__Pauljensenia odontolytica_A
39	399bcf0feb12a20ca0731d8d65268dae	-5.0848446150000015	-0.0211851333037	0.5815257688152364	0.010076293653054	(-6.17614, -4.01163)	(-0.0405081, -0.00311641)	0.019322966696299997	0.0180687233037	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Oscillospirales; f__Oscillospiraceae_88309; g__Vescimonas; s__Vescimonas fastidiosa
41	1527fd8b14037f53b8edb26b111e1f72	-4.629126560000002	-0.020772862395	0.3580551045245222	0.0062143557920943	(-5.29327, -3.94056)	(-0.0328186, -0.00946513)	0.012045737605000002	0.011307732395	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Enterocloster; s__Enterocloster sp000431375
44	4c731267e801c2afe253b5cbb58bdd24	-3.5123105200000024	-0.020312118185	0.2912030168577063	0.0050482613297579	(-4.07392, -3.00489)	(-0.0290476, -0.0104519)	0.008735481815000001	0.009860218184999998	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Bariatricus; s__Bariatricus comes
47	a650f349bbdffb95b3624519d1ba72b8	-3.8659366949999927	-0.01938226776075	0.350257706779918	0.0060751093776168	(-4.48299, -3.18496)	(-0.0309285, -0.00846512)	0.011546232239250002	0.01091714776075	yes	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__Streptococcus thermophilus
50	69536042153447ceb692aa53159ce0c2	-6.27425621499999	-0.018413302086	0.3287531066712885	0.0057014024745555	(-6.95815, -5.71981)	(-0.0277569, -0.00626888)	0.009343597914	0.012144422086	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Enterocloster; s__Enterocloster sp000431375
51	0cfd41d10227f0de9092d5cda028c12d	-7.551728340000006	-0.0183818606037	0.473647594901995	0.0082020777369116	(-8.39327, -6.63706)	(-0.0344529, -0.00403135)	0.016071039396300002	0.0143505106037	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Enterocloster; s__Enterocloster sp000431375
52	0b05a2e48cdc5f9e766bb0f4c209d4b4	-7.7260139899999825	-0.01832000173245	0.4060188281060123	0.0070803018840477	(-8.51957, -7.01965)	(-0.031784, -0.00570946)	0.01346399826755	0.01261054173245	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Oscillospirales; f__Oscillospiraceae_88309; g__Dysosmobacter; s__Dysosmobacter welbionis
53	2371e52106292ac4c33aec6f57cace35	-6.641352214999998	-0.0182318918711499	0.4714484548775653	0.0081879047415495	(-7.52022, -5.75446)	(-0.0329896, -0.00191905)	0.014757708128850102	0.0163128418711499	yes	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__Streptococcus thermophilus
57	ddd87ec4b9d332c2d8c02f5d1b08dbb4	-6.532578994999998	-0.01618860473635	0.3410725231918275	0.0059305148797696	(-7.13801, -5.87344)	(-0.0274986, -0.00565933)	0.011309995263650001	0.01052927473635	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Bariatricus; s__Bariatricus comes
60	ac5402de1ddf427ab8d2b0a8a0a44f19	-2.769533564999997	-0.0151073691988	0.3807620093456549	0.0066072772993093	(-3.5149, -2.09803)	(-0.0264298, -0.00184236)	0.0113224308012	0.0132650091988	yes	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Phocaeicola_A; s__Phocaeicola_A vulgatus
61	8f649d1053a0ead08b37f8e06fbb2818	-7.527939060000011	-0.0150149910411649	0.4415947370399881	0.0076409111136561	(-8.29555, -6.65928)	(-0.0291544, -0.000715426)	0.0141394089588351	0.0142995650411649	yes	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Tannerellaceae; g__Parabacteroides_B_862066; s__Parabacteroides_B_862066 johnsonii
62	2b982979f2401a8bc447d7141879e9b2	-3.019330224999997	-0.0149745934849999	0.2124911087542238	0.0036910461125795	(-3.39487, -2.61663)	(-0.022067, -0.00847395)	0.007092406515000101	0.0065006434849999	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Dorea_A; s__Dorea_A longicatena
68	3d766867c97f511431bf97e059d6498f	-4.964890479999986	-0.0135478023859	0.3850135099672084	0.0066929637662518	(-5.75851, -4.34975)	(-0.0256891, -0.00126542)	0.012141297614099999	0.0122823823859	yes	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Tannerellaceae; g__Parabacteroides_B_862066; s__Parabacteroides_B_862066 johnsonii
69	bd0f4e14387ee1ac7e5fe586cadbbed4	-8.124351665000018	-0.0133831754354749	0.3500182590434073	0.006103891164596	(-8.74419, -7.44464)	(-0.0256655, -0.00279684)	0.012282324564525101	0.0105863354354749	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Christensenellales; f__; g__; s__
72	6c7fa77831ae630967a6fbfc8ee47901	-2.7101798549999985	-0.0131244389514999	0.2310509876744286	0.0040081177679822	(-3.15695, -2.2909)	(-0.020457, -0.00530223)	0.007332561048500099	0.0078222089514999	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Fusicatenibacter; s__Fusicatenibacter saccharivorans
351	bda6b6e7da7508c68057140e7bd6cd8d	-8.391257380000003	0.0373382718649999	0.5476449835542507	0.0094825175047436	(-9.42245, -7.33701)	(0.0195458, 0.0554763)	0.0177924718649999	0.018138028135000102	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Oscillospirales; f__Oscillospiraceae_88309; g__Hominicoprocola; s__Hominicoprocola sp900317525
352	913d55d109820d0f3fad120be103c64f	-10.560153099999988	0.0375655871815	0.6659216536581392	0.011528502882025	(-11.7138, -9.17088)	(0.0118332, 0.0562808)	0.025732387181499998	0.0187152128185	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Clostridiales; f__Clostridiaceae_222000; g__Clostridium_T; s__
353	a9387e76477da8688775569cf540191b	-8.242487564999998	0.03760811614	0.6564413336320472	0.0113685135433561	(-9.39053, -6.88615)	(0.0158503, 0.0590434)	0.02175781614	0.02143528386	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Peptostreptococcales; f__Peptostreptococcaceae_256921; g__Terrisporobacter; s__
354	2ae945b550c248752a5b463c9aca1a6a	-11.693112330000003	0.0382424422975	0.8316587853830272	0.014396605903495	(-13.1619, -10.0727)	(0.00982024, 0.0631616)	0.028422202297499997	0.0249191577025	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Oscillospirales; f__Ruminococcaceae; g__Paludihabitans; s__Paludihabitans psychrotolerans
355	25f9cac7332bfbe3973f03bae0ee15cc	-11.718434989999997	0.0383901517149999	0.592041923855144	0.0101910628418278	(-12.9801, -10.6932)	(0.0165556, 0.0558722)	0.021834551714999897	0.0174820482850001	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Oscillospirales; f__Butyricicoccaceae; g__Agathobaculum; s__Agathobaculum butyriciproducens
356	55d4d3011e1f3bb8e4e5089b801b61a4	-11.653792304999993	0.0384745204975	0.7178306259109712	0.0123386590956292	(-12.9655, -10.2825)	(0.0152032, 0.0616015)	0.023271320497499998	0.0231269795025	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__UBA3402; s__UBA3402 sp003478355
357	4d04d759f5a6615dac43060726239891	-7.545819734999994	0.0385505082	0.4989334532913981	0.0086518751685823	(-8.49362, -6.61221)	(0.0225993, 0.0549321)	0.0159512082	0.016381591799999998	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Lachnospira; s__Lachnospira eligens
358	95fb1be2ae50b6d347649ea76c2a1874	-11.265493345	0.038602567975	0.5981840389162527	0.0103037461430361	(-12.39, -10.1395)	(0.0206917, 0.0593436)	0.017910867975	0.020741032025	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Mediterraneibacter_A_155590; s__Mediterraneibacter_A_155590 butyricigenes
359	09a55cd0bdf9fa4929eab3f0ed841bf5	-11.208327159999971	0.0386039307445	0.6326083850113231	0.010887922631634	(-12.3743, -9.9568)	(0.0174689, 0.0591407)	0.0211350307445	0.0205367692555	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Oscillospirales; f__Oscillospiraceae_88309; g__Hominicoprocola; s__Hominicoprocola sp900317525
360	d05c86b5bfc092d8677507fb1eae8d66	-7.935570675000007	0.0390038892299999	0.6579447524078257	0.0113975270568375	(-9.18492, -6.72189)	(0.016103, 0.0586521)	0.0229008892299999	0.019648210770000098	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Oscillospirales; f__Ruminococcaceae; g__Ruminiclostridium_E; s__Ruminiclostridium_E siraeum
361	979578981da3916b394bf24c32bace21	-9.06048091500002	0.0391422840494999	0.785747027141186	0.0136397346846467	(-10.4529, -7.62651)	(0.014536, 0.0633262)	0.024606284049499896	0.024183915950500103	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Oscillospirales; f__Ruminococcaceae; g__Ruminiclostridium_E; s__Ruminiclostridium_E siraeum
362	4ed55370307d6700d110b6d3f1196136	-9.983153224999992	0.03996912807035	0.8995751397876949	0.0155492344610667	(-11.6357, -8.30451)	(0.0123685, 0.070255)	0.027600628070350006	0.030285871929649995	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Coprococcus_A_121497; s__Coprococcus_A_121497 sp000154245
363	a4e2a4e1321a599651edf92f6999e78e	-9.885937214999997	0.0401795270958	0.9345461837938748	0.0161292936243561	(-11.448, -7.95228)	(0.00663184, 0.0671361)	0.0335476870958	0.026956572904200005	yes	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__MOL361; f__Turicibacteraceae; g__Turicibacter; s__Turicibacter bilis
364	28bb502265419a0e86626d75a1183ce7	-10.698778640000016	0.0412122737699999	0.7950236221004064	0.0137784517740813	(-12.169, -9.26149)	(0.0178566, 0.0682131)	0.023355673769999898	0.0270008262300001	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Christensenellales; f__Aristaeellaceae; g__; s__
365	f655279fdb3e9fe733677c83df662486	-11.020938430000015	0.0412615422499999	0.4743999507824959	0.0081622161140813	(-11.8971, -10.1466)	(0.0261017, 0.056138)	0.015159842249999902	0.0148764577500001	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Oscillospirales; f__Oscillospiraceae_88309; g__Dysosmobacter; s__Dysosmobacter sp000403435
366	03fdbec0c9b63a05ae79f92c6d3a4cfc	-9.55728852500001	0.042000232794	0.8663568644108355	0.0149655855136397	(-11.0806, -7.84413)	(0.0131749, 0.0682843)	0.028825332794000003	0.026284067206000003	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__COE1; s__
367	cebcb0fe524fb1cf0bfb5463ae228bed	-11.273937944999998	0.0422831386899999	0.67045390811899	0.011561745406904	(-12.5429, -10.0381)	(0.0201975, 0.0631764)	0.022085638689999902	0.02089326131000009	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Lachnospira; s__Lachnospira sp000437735
368	1986030e3c5cd5df6d869054bc96e536	-10.26436542999998	0.0428850943949999	0.6228219905937127	0.0107478181951762	(-11.5218, -9.16862)	(0.0227139, 0.0637764)	0.0201711943949999	0.020891305605000098	yes	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Enterobacterales_737866; f__Pasteurellaceae; g__Haemophilus_D_735815; s__Haemophilus_D_735815 parainfluenzae_P
369	208c8722c4dd18b60b2b2684272ff26c	-10.996474280000005	0.04462682746	0.8085002829721094	0.0139306815221462	(-12.597, -9.60047)	(0.0207965, 0.072471)	0.02383032746	0.027844172539999996	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Oscillospirales; f__Ruminococcaceae; g__Ruminiclostridium_E; s__Ruminiclostridium_E siraeum
370	cae14798faeabb8e1b8840e712839921	-9.806441734999996	0.044687301635	0.6780439471584713	0.0117890655409999	(-10.9452, -8.40707)	(0.0237567, 0.067927)	0.020930601635000004	0.023239698365	yes	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__Alistipes_A_871400; s__Alistipes_A_871400 finegoldii
