Feature	Intercept_mean	daily_HEI_mean	Intercept_std	daily_HEI_std	Intercept_hdi	daily_HEI_hdi
7e9ed2c841e64976eace4b578ff56a26	-7.024532085	0.03565935570160005	0.891871813164314	0.015510166319184029	(-8.89663, -5.51537)	(0.0101358, 0.0684054)
a6099802840e60febef8e896967b7747	-7.079705854999996	0.002523765076399999	0.30137702821892165	0.005219971178201198	(-7.67239, -6.55765)	(-0.00615205, 0.0129908)
904ad13c7b8512200836d5cd9fb09e1b	-8.18055316500001	-0.013090136856370005	0.7444496641430726	0.012957007556248398	(-9.54616, -6.8047)	(-0.0371458, 0.0101387)
1aab913302590e21a7be28b1494a3320	-8.908891279999986	-0.003534620486720002	0.43801760135748147	0.007606766267191269	(-9.7391, -8.08775)	(-0.0173597, 0.011362)
e644522cf6d7222c9da7f9ecf614cd89	-8.641245135000007	-0.0020108216942550015	0.6983614382839893	0.012077108265224538	(-9.96932, -7.39309)	(-0.0236064, 0.0211234)
bad4f7c5ada34a1f813946abcfe5c556	-6.303857880000012	0.027804217094999993	0.28915177960736405	0.0050211581516913335	(-6.82412, -5.76327)	(0.0178702, 0.0364592)
399bcf0feb12a20ca0731d8d65268dae	-5.0848446150000015	-0.021185133303700046	0.5815257688152364	0.010076293653054048	(-6.17614, -4.01163)	(-0.0405081, -0.00311641)
32f7e6bfc42fe19c17f9459bd9be4b67	-6.550823694999998	-0.010932155109650005	0.5724071237117833	0.009965251660251962	(-7.63156, -5.50803)	(-0.0284926, 0.00865007)
c942f59feffce9c3ab527135de234101	-3.1517429300000033	-0.03674799334999994	0.43278828172123046	0.007493670166686068	(-3.90295, -2.25301)	(-0.0515668, -0.0231219)
29bb5fa7f45e47bbabab8cc1b1b3d18e	-8.182131014999994	-0.010665120920385011	1.0089061967462185	0.017515237387798588	(-10.1837, -6.45535)	(-0.0394251, 0.0253126)
7b2ff5940de11da4dc3bb208805dff11	-7.638215100000001	-0.013257052498625027	0.4520355306054937	0.007900408130180867	(-8.40478, -6.76513)	(-0.0276922, 0.000819428)
6c7fa77831ae630967a6fbfc8ee47901	-2.7101798549999985	-0.01312443895149999	0.23105098767442864	0.0040081177679822085	(-3.15695, -2.2909)	(-0.020457, -0.00530223)
6c83fec6e8d03fad51eabc871853c991	-9.985079594999982	0.027973811109839947	0.8078155843223668	0.014037163454392564	(-11.5595, -8.55865)	(0.00232136, 0.0551029)
23597fea41001255f06321d42aefd3bd	-8.305546830000004	-0.0016117327148810006	0.5038279832961359	0.008806597964375155	(-9.20828, -7.35601)	(-0.017888, 0.0148783)
ee02d6d3506da57909d5e603709a295f	-6.717378940000007	-0.00081253474272	0.3183138164241009	0.0055184190246961	(-7.28015, -6.09258)	(-0.0121197, 0.00855796)
e6a34eb113dba66df0b8bbec907a8f5d	-5.461808985000002	-0.0007155662546699988	0.39529261065724414	0.006853119774787537	(-6.24637, -4.7715)	(-0.0139406, 0.0117296)
6c4de756c45fa6e7e5adfe196f9f0039	-6.665915485000006	0.021186427438549534	0.8872305789784655	0.015369707913596804	(-8.30699, -4.99115)	(-0.00871453, 0.0485382)
