Feature	Intercept_mean	fatty_acids_monounsaturated_eaten_mean	Intercept_std	fatty_acids_monounsaturated_eaten_std	Intercept_hdi	fatty_acids_monounsaturated_eaten_hdi
51625f89e7332f46ab0641e10cede6ea	-7.159545719999999	-0.012421311389924987	0.21070131515864246	0.007926606536557636	(-7.57423, -6.77685)	(-0.0260308, 0.00393776)
ddd87ec4b9d332c2d8c02f5d1b08dbb4	-7.474884539999994	0.0010697129160099998	0.06422860201645679	0.0022191138834947144	(-7.60115, -7.3603)	(-0.00285075, 0.00535118)
588a23811b3e98af68f4f0fb24a0daa8	-5.436126499999998	-0.0014446864814849994	0.10500883031036004	0.0035700421940325867	(-5.65264, -5.25857)	(-0.00776813, 0.00505103)
7c82a2ef7685c5c6dc3080f56033cee9	-8.901347024999998	-0.0006507674138439991	0.16098094384429287	0.006077977451291874	(-9.2281, -8.62181)	(-0.011061, 0.010977)
b835514e2678e3c7ba13bfe0a0d79bb4	-8.50625553000001	-0.0015366777861399981	0.18322711650959056	0.0068199710547669256	(-8.82821, -8.14831)	(-0.0133273, 0.0120989)
c162a4f3943238810eba8a25f0563cca	-5.226292279999997	-0.0022025517074500036	0.0642817339397562	0.0020498718724242995	(-5.33682, -5.09415)	(-0.00574617, 0.00180508)
5b00db3216a94bcd5c4842499bf6bf6e	-7.910542744999988	-0.002029689896284997	0.08847898983496018	0.0030518224461785364	(-8.06772, -7.74192)	(-0.00746813, 0.00357767)
beef5a54aaee13f217ecede427cb3071	-7.622150854999998	0.00039813870575	0.20019045924373868	0.007341249699988433	(-8.00409, -7.27431)	(-0.0117059, 0.0138769)
f7686a74ca2d3729eb66305e8a26309b	-3.6755865499999967	-0.002488932320314999	0.03739324908319018	0.0011306267098029877	(-3.747, -3.60609)	(-0.00463472, -0.000472286)
5ca5ea401c8d3569e69626d2f81d5578	-6.069384235000012	0.0037306181497200044	0.22613958551725247	0.008845985926803043	(-6.55242, -5.70704)	(-0.00912668, 0.0215262)
b6d740387526e21887b761f90fbc914a	-8.327417495000011	-0.005574422728319003	0.133233729962705	0.004695963280174221	(-8.56332, -8.07332)	(-0.013297, 0.00400945)
5e69d50b5a886d1b222f36de84a9dc98	-8.798869195000004	-0.019328392861150026	0.2485856920661405	0.010463619488861436	(-9.24452, -8.32038)	(-0.0389215, -0.00134865)
208c8722c4dd18b60b2b2684272ff26c	-8.506068255000002	0.0050074226308449935	0.1785164551981273	0.00651662393260445	(-8.83409, -8.18294)	(-0.00477494, 0.0175372)
95fb1be2ae50b6d347649ea76c2a1874	-9.050990905000017	0.0014935007414549988	0.11920204949635296	0.004371341833814318	(-9.2959, -8.83563)	(-0.00594387, 0.0101146)
ea2b0e4a93c24c6c3661cbe347f93b74	-4.296240005000001	-0.0035176536745400036	0.05525176278500058	0.0018865480057391184	(-4.39969, -4.19892)	(-0.00696096, -0.000135456)
04b5dd98584b9ead93ed64c586994296	-7.806118429999993	0.002756471776654997	0.1116541323965893	0.004049113166174578	(-8.02187, -7.61145)	(-0.00435544, 0.0102623)
ec6c9ea52e88226c339487585ea02f42	-5.476110674999992	-0.0007217123110995001	0.11869827895380114	0.004381307332892366	(-5.69232, -5.26097)	(-0.00811068, 0.0074632)
4ce0afbaae4138f34580aa9f62b7a0fd	-8.424099275000005	-0.00045313015638050007	0.1671387640576668	0.006124090504526512	(-8.73444, -8.12693)	(-0.0106502, 0.011313)
f655279fdb3e9fe733677c83df662486	-8.763907789999978	0.006032637825150012	0.10085538858641055	0.0037473013625439486	(-8.93354, -8.56278)	(-0.00090722, 0.0127146)
