	Feature	Intercept_mean	fatty_acids_polyunsaturated_eaten_mean	Intercept_std	fatty_acids_polyunsaturated_eaten_std	Intercept_hdi	fatty_acids_polyunsaturated_eaten_hdi	lower	upper	credible	Taxon
10	fea3411c847e6627afb5e78b88e2e9af	-5.205839920000005	-0.04685078208	0.1319955727723228	0.0109471374714087	(-5.43703, -4.95722)	(-0.0666805, -0.0265776)	0.019829717920000003	0.02027318208	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Mediterraneibacter_A_155507; s__Mediterraneibacter_A_155507 torques
11	ccee9fc92f4182805278384a02a4d7d3	-9.281459979999994	-0.0464547846975	0.1821478009557064	0.0175949237285367	(-9.61631, -8.96052)	(-0.0804533, -0.0151087)	0.033998515302500004	0.0313460846975	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Oscillospirales; f__Oscillospiraceae_88309; g__Dysosmobacter; s__Dysosmobacter welbionis
13	2a7f11895ae7fe9fdffa52016207c561	-5.60638064	-0.041751800895	0.1164105673939887	0.0104731051399552	(-5.81184, -5.38241)	(-0.061215, -0.0227315)	0.019463199104999995	0.019020300895	yes	d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Actinomycetales; f__Bifidobacteriaceae; g__Bifidobacterium_388775; s__Bifidobacterium breve
14	4311a44a7d56ce4086afad3e75bedd6e	-7.756381145000013	-0.0404338754350001	0.1261503092700885	0.0116251286424442	(-8.00989, -7.53489)	(-0.0608259, -0.0166695)	0.020392024564999903	0.0237643754350001	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Oscillospirales; f__Ruminococcaceae; g__Ruthenibacterium; s__Ruthenibacterium lactatiformans
15	b6d740387526e21887b761f90fbc914a	-8.079804549999999	-0.0403920845719999	0.1638924321944045	0.014697647222786	(-8.3992, -7.78807)	(-0.0698272, -0.0130359)	0.029435115428000105	0.0273561845719999	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Mediterraneibacter_A_155507; s__Mediterraneibacter_A_155507 torques
16	6a17479edbe461431433bddb084f731e	-6.076297349999987	-0.0403464390429999	0.1405122651261359	0.0129157298452264	(-6.34557, -5.81602)	(-0.0667972, -0.0170714)	0.0264507609570001	0.0232750390429999	yes	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae_A_595427; g__Parasutterella_564865; s__Parasutterella excrementihominis
17	4c855814a58f4f324e8f0cfaab222e1f	-8.442910145	-0.0388609436459999	0.1953691485847468	0.0175663047012502	(-8.82218, -8.09)	(-0.0700337, -0.00375321)	0.031172756354000103	0.0351077336459999	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Oscillospirales; f__Ruminococcaceae; g__Negativibacillus; s__Negativibacillus massiliensis
20	2480f3aa1e7784b461d9b5b83a6bfc81	-7.580298245000008	-0.0372028836679999	0.1359244494304465	0.0119817579760335	(-7.8266, -7.32923)	(-0.0610153, -0.0154057)	0.023812416332000104	0.021797183667999896	yes	d__Bacteria; p__Actinomycetota; c__Coriobacteriia; o__Coriobacteriales; f__Eggerthellaceae; g__Eggerthella; s__Eggerthella lenta
22	9099a7f671b923c7b07c12508f17270a	-7.777919580000001	-0.0342529432189999	0.1046403346894666	0.0094055637539634	(-7.96839, -7.58528)	(-0.0505946, -0.0158568)	0.0163416567810001	0.018396143218999902	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Oscillospirales; f__Acutalibacteraceae; g__Clostridium_A_51961; s__Clostridium_A_51961 leptum
23	9d4e16844252e2dfbaf80a4a6fc4d55d	-9.170809025000004	-0.0339700283037	0.1909055428603353	0.0178679821360298	(-9.52887, -8.83411)	(-0.067923, -0.00123461)	0.033952971696299995	0.032735418303700005	yes	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Staphylococcales; f__Gemellaceae; g__Gemella; s__Gemella taiwanensis
31	0cc2420a6a4698f8bf664d50b17d26b4	-5.903609205000015	-0.0301315166835	0.1019459453392727	0.0087460326534844	(-6.09132, -5.71569)	(-0.0454691, -0.013805)	0.015337583316499998	0.0163265166835	yes	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__Alistipes_A_871400; s__Alistipes_A_871400 finegoldii
32	f7ef98bb6d0061b9368a72b1ff40aad0	-8.597126399999993	-0.0298607284929999	0.1684060624260301	0.0146186272678122	(-8.92178, -8.30123)	(-0.0564396, -0.00195359)	0.0265788715070001	0.027907138492999903	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Oscillospirales; f__Oscillospiraceae_88309; g__Lawsonibacter; s__Lawsonibacter sp000177015
33	3af2ddaf4af4b5ae4100439a9c3d4099	-8.672772384999984	-0.0290606961554	0.1417696921124601	0.0133024004903132	(-8.93867, -8.41652)	(-0.0558357, -0.00552276)	0.026775003844600003	0.0235379361554	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Oscillospirales; f__Oscillospiraceae_88309; g__Enterenecus; s__Enterenecus faecium
37	7be9bac1b13acbd8acf0de464d7c20e6	-7.658981104999989	-0.0245535407026499	0.0950388857896018	0.0084606743060422	(-7.81943, -7.46886)	(-0.0396509, -0.00830054)	0.015097359297350104	0.0162530007026499	yes	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__Streptococcus rubneri
42	370829fece3190f1a8efccf50b7d0921	-7.438566819999997	-0.0232948321215	0.1016270376400276	0.00853436327054	(-7.62486, -7.24807)	(-0.0386107, -0.006502)	0.015315867878499999	0.016792832121499998	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Oscillospirales; f__Oscillospiraceae_88309; g__Lawsonibacter; s__
43	149e7d5e484d157f2ac6140a2111618e	-3.994340090000005	-0.0231050640029999	0.0887907135943387	0.0079815708774672	(-4.15736, -3.83301)	(-0.0369771, -0.00726062)	0.013872035997000098	0.0158444440029999	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Oscillospirales; f__Ruminococcaceae; g__Gemmiger_A_73129; s__Gemmiger_A_73129 qucibialis
45	8f649d1053a0ead08b37f8e06fbb2818	-8.168944364999996	-0.0226182923450499	0.1228324649386178	0.0113592750296973	(-8.41589, -7.95353)	(-0.0449254, -0.00271299)	0.022307107654950097	0.019905302345049898	yes	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Tannerellaceae; g__Parabacteroides_B_862066; s__Parabacteroides_B_862066 johnsonii
47	0cfd41d10227f0de9092d5cda028c12d	-8.377911889999982	-0.0224947822146499	0.1328505371025194	0.0123285020679402	(-8.64385, -8.14077)	(-0.0464298, -0.000217395)	0.0239350177853501	0.0222773872146499	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Enterocloster; s__Enterocloster sp000431375
49	514b34f09e4acd2397d38273c630d338	-8.321384165	-0.02168046579465	0.1378832638212586	0.0109247769887608	(-8.59333, -8.07302)	(-0.0413646, -0.000570714)	0.01968413420535	0.02110975179465	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Christensenellales; f__Aristaeellaceae; g__Limiplasma; s__Limiplasma merdipullorum
50	c82032c40c98975f71892e4be561c87a	-6.835118284999987	-0.0210571059799999	0.0700952184696557	0.0059706858256599	(-6.96845, -6.71002)	(-0.031832, -0.00984186)	0.010774894020000099	0.011215245979999901	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Oscillospirales; f__Oscillospiraceae_88309; g__Dysosmobacter; s__Dysosmobacter welbionis
52	a3607a88a8ed64e24a374847b23e404f	-6.250371655000006	-0.0203662705492499	0.0913902441172523	0.0077864810733298	(-6.42002, -6.07816)	(-0.0360795, -0.00641935)	0.0157132294507501	0.0139469205492499	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Oscillospirales; f__Acutalibacteraceae; g__Hominenteromicrobium; s__Hominenteromicrobium mulieris
53	fec0355651c9ad579f01f3e332311725	-6.889464355000004	-0.0202627314068214	0.1065362752656764	0.0096744528434889	(-7.09361, -6.6969)	(-0.037884, -0.00227602)	0.017621268593178602	0.0179867114068214	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Oscillospirales; f__Ruminococcaceae; g__Gemmiger_A_73129; s__Gemmiger_A_73129 qucibialis
55	9ac5fec396208e598ab2e2d26985d0df	-7.943533169999998	-0.019555102651	0.0734226317006622	0.006527996208146	(-8.0743, -7.80341)	(-0.0314545, -0.00718265)	0.011899397349000002	0.012372452651000003	yes	d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Actinomycetales; f__Actinomycetaceae; g__Pauljensenia; s__Pauljensenia odontolytica_A
57	bd0f4e14387ee1ac7e5fe586cadbbed4	-8.711272159999995	-0.01804844034	0.089263025196519	0.0082553260550793	(-8.87656, -8.54524)	(-0.0326579, -0.00207266)	0.014609459659999997	0.01597578034	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Christensenellales; f__; g__; s__
59	4b548f1f6fc22f32237396b7d4ffee6e	-7.467775144999987	-0.0172613085478	0.0716179580592673	0.0062313685871074	(-7.59566, -7.32656)	(-0.0292342, -0.00593762)	0.011972891452199999	0.011323688547799998	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Oscillospirales; f__Oscillospiraceae_88309; g__Lawsonibacter; s__Lawsonibacter asaccharolyticus
66	0f92fcc184a951ff8b0914467ad2f8f9	-6.836964734999992	-0.0150033004952849	0.0890152082535887	0.0077458576818198	(-6.99606, -6.66885)	(-0.0301098, -0.000997601)	0.015106499504715099	0.0140056994952849	yes	d__Bacteria; p__Desulfobacterota_G_459543; c__Desulfovibrionia; o__Desulfovibrionales; f__Desulfovibrionaceae; g__Bilophila; s__Bilophila wadsworthia
79	f7686a74ca2d3729eb66305e8a26309b	-3.609701130000001	-0.0125026085035	0.0478177939999651	0.0040407912795336	(-3.69687, -3.52244)	(-0.0196696, -0.00491357)	0.007166991496499998	0.007589038503500001	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Anaerostipes; s__Anaerostipes hadrus
85	a650f349bbdffb95b3624519d1ba72b8	-4.863387019999999	-0.0114781026649999	0.06375388748084	0.0051200489178124	(-4.97517, -4.74128)	(-0.0201991, -0.000796979)	0.008720997335000102	0.0106811236649999	yes	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__Streptococcus thermophilus
302	4c2189b6b5ced3cb80093414e9449de9	-6.09239869500001	0.0146398980637984	0.0805540281515889	0.0072598414014658	(-6.24361, -5.95144)	(0.00221785, 0.0286348)	0.0124220480637984	0.013994901936201598	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Oscillospirales; f__Butyricicoccaceae; g__Agathobaculum; s__Agathobaculum butyriciproducens
310	8a9f7499cdb85b8efa497bb56256cb43	-6.574193774999996	0.0161549524316599	0.0900786811798407	0.0083143995198882	(-6.73353, -6.4015)	(0.000754719, 0.0311041)	0.015400233431659898	0.0149491475683401	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Brotaphodocola; s__Brotaphodocola sp003481825
318	5093cebf67405c910fb68525ffa6dc3d	-10.327421525000014	0.0173279327302	0.1154016685664656	0.0092336012361871	(-10.5508, -10.1215)	(0.00083829, 0.0345791)	0.0164896427302	0.017251167269800003	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Porcincola; s__
334	9dc78fd8f2f7cb10e190e77af61c7ecd	-8.358330425	0.0208367631719999	0.1022773409112174	0.009393267882181	(-8.54222, -8.16266)	(0.00516196, 0.0403201)	0.0156748031719999	0.019483336828000096	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__; s__
346	1600415004247da005dd77bd44c633d9	-8.253601994999993	0.0240446375815	0.0985747734330136	0.0088823174157718	(-8.44197, -8.08172)	(0.0081848, 0.0403814)	0.015859837581500003	0.016336762418499996	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__UBA1381; f__UBA1381; g__Hominilimicola; s__Hominilimicola sp001941225
350	cc968157f7691aab95df444e8cd103e2	-5.589788679999992	0.02453858575	0.0739692256756659	0.0067073600710762	(-5.72294, -5.44887)	(0.0110542, 0.0359495)	0.013484385750000001	0.011410914250000001	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__UBA1381; f__UBA1381; g__Hominilimicola; s__Hominilimicola sp001941225
357	ebab7cfc7858bfb00c486bba21d6ca6d	-5.929232890000014	0.0279934575215	0.1449567081050335	0.0132104653269615	(-6.2128, -5.66594)	(0.00342327, 0.0525539)	0.0245701875215	0.024560442478500002	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Clostridiales; f__Clostridiaceae_222000; g__Clostridium_T; s__
361	e0b7bd623a1b4cd1640883066e8d96bd	-9.829870075000017	0.0288646527386499	0.1548160669147242	0.0142336232486333	(-10.0945, -9.51605)	(0.00431343, 0.0561283)	0.0245512227386499	0.0272636472613501	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__UBA3402; s__UBA3402 sp003478355
362	4d04d759f5a6615dac43060726239891	-5.611778859999998	0.0290748601910499	0.1647326480810661	0.0154083991148186	(-5.91695, -5.30732)	(0.000832934, 0.0582206)	0.0282419261910499	0.029145739808950098	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Lachnospira; s__Lachnospira eligens
363	3e15d94435169ddada1e508dd8b83a55	-8.377572879999986	0.0303474140045	0.1600594767225783	0.0147004740496812	(-8.68554, -8.08206)	(0.00459872, 0.0585201)	0.0257486940045	0.028172685995499998	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Acetatifactor; s__Acetatifactor acetigignens
364	913d55d109820d0f3fad120be103c64f	-8.691510705000008	0.0304064611799999	0.1687190386241367	0.0153052335780572	(-8.99496, -8.38317)	(0.00355456, 0.0588357)	0.0268519011799999	0.028429238820000098	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Clostridiales; f__Clostridiaceae_222000; g__Clostridium_T; s__
365	1fa555f9a74d47a6ca7a65a347bc885f	-6.243853270000009	0.030577840923	0.129645426665606	0.0120739977756708	(-6.49375, -6.01025)	(0.00973116, 0.0555751)	0.020846680923000002	0.024997259077	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Oscillospirales; f__Oscillospiraceae_88309; g__Dysosmobacter; s__Dysosmobacter sp000403435
366	8507091bac6b1be88f3d360d6d535d0e	-8.378223319999996	0.0315441901194999	0.1323360584314706	0.0123651618625193	(-8.64221, -8.13606)	(0.00814041, 0.0551341)	0.023403780119499902	0.023589909880500096	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__UBA3402; s__UBA3402 sp003478355
368	5860dac317300b1fe6094e958240cc7f	-7.966539009999992	0.0323305994899999	0.1069775713601682	0.0097942703129174	(-8.15501, -7.76383)	(0.0144221, 0.050372)	0.017908499489999903	0.018041400510000097	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Laedolimicola; s__
370	97f26830027d30dfbd60b54895af0660	-9.420187034999998	0.0330433596475	0.1675951228051066	0.0151576052167358	(-9.72826, -9.1087)	(0.00467042, 0.059387)	0.028372939647499998	0.026343640352500003	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Butyribacter; s__Butyribacter sp003529475
371	a24dae6b87885a55d81df1ea6d1abaf5	-6.113924120000009	0.03376298279085	0.1498458999860376	0.0139700863270369	(-6.38876, -5.82935)	(0.0099379, 0.0611877)	0.02382508279085	0.027424717209149997	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Acetatifactor; s__Acetatifactor acetigignens
373	1243750138937650754b619370565800	-6.476594160000014	0.0346572425994999	0.1672022167855271	0.0155040190223026	(-6.81552, -6.19088)	(0.0062155, 0.0636663)	0.0284417425994999	0.029009057400500096	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Lachnospira; s__Lachnospira sp000437735
374	ec6c9ea52e88226c339487585ea02f42	-5.854282294999999	0.0353552151534999	0.1686152434846357	0.0159676259736413	(-6.15505, -5.53657)	(0.00517476, 0.0643081)	0.030180455153499902	0.028952884846500104	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Oscillospirales; f__Oscillospiraceae_88309; g__Limivicinus; s__Limivicinus sp002320035
375	9f74473636e6874853d88dfcbcecff49	-7.024902509999994	0.0391080459905	0.1818282412181889	0.0168939118406378	(-7.36646, -6.68911)	(0.00969137, 0.0713125)	0.029416675990500005	0.0322044540095	yes	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Lactobacillales; f__Streptococcaceae; g__Lactococcus_A_346120; s__
376	f655279fdb3e9fe733677c83df662486	-9.044803375000011	0.0415089858	0.1432477111135093	0.0131475741886844	(-9.31731, -8.77327)	(0.019053, 0.0687168)	0.0224559858	0.027207814199999993	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Oscillospirales; f__Oscillospiraceae_88309; g__Dysosmobacter; s__Dysosmobacter sp000403435
378	6509bd0f539df985ac2f40c335cdb999	-8.949869034999985	0.04220620245475	0.1812134030962353	0.0169828720295317	(-9.28126, -8.60158)	(0.0119754, 0.0757483)	0.03023080245475	0.033542097545250005	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Acetatifactor; s__Acetatifactor acetigignens
380	f8529e2e737999b4a7d06420482d4af3	-8.941486444999976	0.0436995620919999	0.2376069733800165	0.0217829229962146	(-9.39364, -8.49889)	(0.00193314, 0.0835143)	0.0417664220919999	0.0398147379080001	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__; s__
381	7e9ed2c841e64976eace4b578ff56a26	-5.414079340000008	0.0438808398893999	0.2593649960312001	0.0239823663888791	(-5.90064, -4.95404)	(0.000469219, 0.0881861)	0.0434116208893999	0.044305260110600105	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Coprococcus_A_121497; s__Coprococcus_A_121497 sp000154245
382	55d4d3011e1f3bb8e4e5089b801b61a4	-9.87903091500001	0.0445166129371349	0.1956127423832936	0.0179670874625384	(-10.2337, -9.49051)	(0.0103985, 0.0787572)	0.0341181129371349	0.0342405870628651	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__UBA3402; s__UBA3402 sp003478355
383	a9387e76477da8688775569cf540191b	-6.515949295000008	0.0447232973405499	0.2181426202314737	0.0205456168991298	(-6.94126, -6.12008)	(0.00670182, 0.084885)	0.038021477340549906	0.0401617026594501	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Peptostreptococcales; f__Peptostreptococcaceae_256921; g__Terrisporobacter; s__
384	ae171d16e3cb68ad19636a58839a1ef1	-9.412010940000004	0.0448509590898999	0.2445361782213756	0.0228687889504089	(-9.86821, -8.97836)	(0.00485195, 0.0886494)	0.0399990090898999	0.0437984409101001	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Peptostreptococcales; f__Peptostreptococcaceae_256921; g__Terrisporobacter; s__
385	f45b62ab6ec22fb20364a7e05088158f	-7.712134914999988	0.0453122720353499	0.2172488947184605	0.0203516770743602	(-8.16647, -7.34256)	(0.0102471, 0.0861343)	0.035065172035349895	0.0408220279646501	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Muricoprocola; s__Muricoprocola aceti
387	c8fce068920feb387167d44c01689295	-6.812659224999996	0.045790191461	0.248273196199971	0.0233320132697236	(-7.28433, -6.33899)	(0.00131009, 0.0879327)	0.044480101461	0.042142508539	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Oscillospirales; f__Butyricicoccaceae; g__Agathobaculum; s__Agathobaculum butyriciproducens
388	7c82a2ef7685c5c6dc3080f56033cee9	-9.385041739999991	0.0464224718984998	0.2435326843587374	0.0230697063250985	(-9.84972, -8.95286)	(0.0050367, 0.0896625)	0.041385771898499804	0.043240028101500204	yes	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae_A_595421; g__Oxalobacter; s__Oxalobacter paraformigenes
389	7dfa96abfa7484bb6c9cfa90dc9b606f	-6.282342664999991	0.0505009499500001	0.1519840835967628	0.0142256452559699	(-6.54855, -5.97745)	(0.0245954, 0.0779873)	0.025905549950000103	0.027486350049999893	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Eubacterium_J; s__Eubacterium_J plexicaudatum
390	4973330392dab23937c67af9843e5359	-8.55543219499999	0.0516261582255	0.1879064472409925	0.0176197679570993	(-8.89215, -8.19787)	(0.0202234, 0.084659)	0.031402758225499997	0.0330328417745	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Lachnospira; s__Lachnospira eligens
391	686d42b9552375c3b61301ae5605e3a2	-7.035660329999996	0.0524072284594999	0.2631789576974022	0.0245723285923399	(-7.53947, -6.57714)	(0.00570028, 0.094794)	0.046706948459499895	0.04238677154050011	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Roseburia_A_166204; s__Roseburia_A_166204 hominis
394	b10627ff6db16c65eed2f21380dd700f	-6.702170074999994	0.0557814785649999	0.257070451619871	0.0243856833409274	(-7.17044, -6.21534)	(0.0135186, 0.100763)	0.042262878564999905	0.0449815214350001	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Oscillospirales; f__Oscillospiraceae_88309; g__Limivicinus; s__Limivicinus sp002320035
395	9c25197937d1f54e2634026fbca6b55f	-7.648390764999999	0.05737812719295	0.2925443237026912	0.0267347384346348	(-8.17788, -7.10453)	(0.00760605, 0.105223)	0.04977207719295	0.04784487280705	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Jutongia; s__
396	266c2a374ca451985731e1e1b5961bd2	-8.970201894999986	0.05745219734	0.1914414349428018	0.0179938647129472	(-9.3062, -8.58981)	(0.0240339, 0.0905988)	0.03341829734	0.033146602659999996	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Eubacterium_J; s__Eubacterium_J plexicaudatum
397	4ed55370307d6700d110b6d3f1196136	-8.281787595000024	0.0590703960854999	0.2980777148418948	0.0282388939615548	(-8.86043, -7.75489)	(0.00750385, 0.110798)	0.051566546085499904	0.05172760391450009	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Coprococcus_A_121497; s__Coprococcus_A_121497 sp000154245
