Feature	Intercept_mean	beta_carotene_eaten_mean	Intercept_std	beta_carotene_eaten_std	Intercept_hdi	beta_carotene_eaten_hdi
3e5f388f7ad4f160c2a1cdd1441d00c0	-6.538632185000007	-1.5010042287490002	0.04414401526567078	4.866350938637255	(-6.6186, -6.45493)	(-11.3266, 6.82956)
f5706d9ec821f971e4c08ee992995b40	-7.904937854999993	-0.4571531071200001	0.07807653544983265	5.130970655185906	(-8.05507, -7.76483)	(-10.3712, 8.95121)
138eb7703e1255cf29760a4440de2a47	-8.608315109999994	1.0921428056941513	0.06874633594736447	4.906972455432909	(-8.74178, -8.48647)	(-8.17009, 9.71217)
56c3d1a8e4dc5c2aa7afbc1563559448	-7.4912985949999955	-0.024871845813000074	0.12335336053539843	5.021536391236219	(-7.73468, -7.2644)	(-9.84931, 9.26379)
de61860db8d93da85692dffb5cf32ab9	-5.0948464200000005	0.25343479307999983	0.09636973065378782	5.000544833520203	(-5.2665, -4.91146)	(-8.86084, 9.85976)
5c02713fbed5c1964b4410d9f8166555	-6.096133420000005	1.0028064173750029	0.0406348443715932	4.722875465398959	(-6.1733, -6.02069)	(-8.41942, 9.33347)
12bb0c9249480c4cec2cc9f692018806	-8.387174159999995	1.6265063990300028	0.05136717666851468	5.046456364521894	(-8.48371, -8.28937)	(-7.40477, 11.1705)
b10627ff6db16c65eed2f21380dd700f	-6.124049000000004	0.6462346291940011	0.10664502766420954	5.085216548595245	(-6.32236, -5.92853)	(-8.84304, 10.1322)
3f5f0d10bd5495e2c89d229c508dcdec	-7.05544496500001	0.5043522255950001	0.07763711735760659	4.968299034976589	(-7.20108, -6.90751)	(-8.53875, 10.3403)
de6891b6f7a1f35bd9ccbc058b9e1a77	-6.5879370599999945	4.428000757334994	0.029600277202357448	4.547342462228461	(-6.64389, -6.53514)	(-4.23031, 12.4849)
828c563319c7cee475b9b8ab6a0a048b	-7.446752685	4.931658579399999	0.04512503823977078	4.707472200058251	(-7.53263, -7.35991)	(-3.13679, 14.6516)
6a129e8ae637c96e7bb56223913911f7	-6.005023634999995	1.5442138780999948	0.057337439021435	4.948466587745884	(-6.10895, -5.89934)	(-7.24084, 11.277)
1527fd8b14037f53b8edb26b111e1f72	-5.809477709999993	-0.3779585715500002	0.04467526466464303	5.059392446532973	(-5.88951, -5.72134)	(-10.3795, 8.56343)
b3d06445a910a9a444919e41f5da39c3	-9.958069139999994	-1.234178937745	0.07114960905135315	4.916618886474528	(-10.0951, -9.82578)	(-10.4459, 7.77683)
992072d045462445dc239b35300af2cc	-3.8184211799999996	-0.08335680474500011	0.11878441235241091	4.987463164966106	(-4.03752, -3.58691)	(-9.63084, 9.2206)
2403a466dd6d1e4f551d80394c2aa994	-6.981370804999987	0.027713541434999957	0.134924190104673	5.0245265212680446	(-7.22595, -6.72092)	(-9.26335, 9.62208)
cae14798faeabb8e1b8840e712839921	-7.210962384999998	1.4249179157199978	0.08060398246713228	4.806168639044533	(-7.36254, -7.06096)	(-7.17231, 10.9372)
4311a44a7d56ce4086afad3e75bedd6e	-8.136023895000005	0.03384940499249996	0.059202233044700084	5.073006450465154	(-8.24881, -8.0287)	(-9.51272, 9.30821)
ab153c3e19553cead3d76fb9e00684c2	-6.912775354999993	0.7334531330400004	0.09036529272776121	5.031440048722658	(-7.07791, -6.73737)	(-9.17391, 9.71616)
fc1856f132cd513b1251fa39ad4ccd01	-8.069637555000007	-2.737980052749993	0.038194676831621116	4.831599177544656	(-8.13778, -7.99763)	(-11.3572, 6.51275)
8ef31508d9a2fc6f83935de5607a686c	-7.312364085000016	-0.30004157139499993	0.11469736133827481	4.883317149195903	(-7.53031, -7.09645)	(-9.76409, 8.44663)
21ce8465657612a85e2f89e74d285ce1	-10.149039249999987	-0.5183392939960003	0.07073627426389882	5.038631324437951	(-10.2738, -10.0143)	(-10.5682, 8.11764)
69d052e452e79d571cba042af265d50c	-5.113713129999995	0.5905836312469992	0.09975184379851379	4.962548247407442	(-5.2957, -4.93585)	(-9.40687, 9.16335)
79d5bee84cddbb27acb4dd7df378c789	-7.305457354999998	2.1500445029849997	0.07914994915888439	4.939979814917748	(-7.45347, -7.1556)	(-7.15553, 11.4618)
0f0a1f8c92368be6e8d3145bd4e94cd1	-5.198748579999996	-0.610996018865	0.06946848956385622	4.726016328129109	(-5.33831, -5.07663)	(-8.56265, 8.85783)
64d05989cb6f8053633b2127793200b3	-7.425407050000008	-2.639128927144503	0.052439385764876216	4.9614049487082506	(-7.52416, -7.32804)	(-12.0097, 6.48459)
bac3d8ea4685e825ef8d12b2a6979577	-7.464466230000006	0.45739479557500007	0.11542358978730088	5.068170858160195	(-7.67652, -7.25176)	(-9.27915, 9.54354)
a8d23fd98a311df2db65e5842634aba3	-7.251355724999998	1.2336656246149984	0.041705199824175095	4.857292702071414	(-7.32901, -7.17053)	(-8.14288, 10.4321)
41239266f2952a56a313fc4798f28a1c	-6.828617484999995	-1.0487778746576	0.05337841191460064	5.017737983941789	(-6.93, -6.72808)	(-10.5781, 8.10464)
2b982979f2401a8bc447d7141879e9b2	-3.8557748199999993	-5.458979184264993	0.028406271588640432	4.684202917976975	(-3.90716, -3.80074)	(-15.0602, 2.55721)
251429848560a80abcb96640ceb102db	-5.3693602199999955	-1.1324937557199994	0.05108424703811929	4.73883885082808	(-5.45898, -5.26959)	(-9.61044, 8.36016)
7b34b797cadb639f63827c6d332dd4e9	-8.189799200000015	-1.656695485775004	0.05049468987685737	4.793777360670912	(-8.2893, -8.09668)	(-11.3518, 6.67022)
2a99ec1157a90661db7ff643b82f1914	-6.407987699999996	0.00591365190999988	0.1334099424631088	4.903661284159171	(-6.6657, -6.17752)	(-8.88106, 9.4183)
