	Feature	Intercept_mean	fast_food_fg_eaten_mean	Intercept_std	fast_food_fg_eaten_std	Intercept_hdi	fast_food_fg_eaten_hdi	lower	upper	credible	Taxon
10	f8529e2e737999b4a7d06420482d4af3	-8.074137984999993	-0.0069093451794999	0.1753006539020599	0.0022456402334342	(-8.40875, -7.7587)	(-0.010866, -0.00244686)	0.003956654820500101	0.0044624851794999	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__; s__
11	f10155af1849a17996f302d71b32398c	-7.76609743000001	-0.006807029876	0.1678422637168456	0.0021196835779684	(-8.09143, -7.47551)	(-0.0106403, -0.00284772)	0.003833270124	0.003959309875999999	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Suilimivivens; s__Suilimivivens aceti
12	686d42b9552375c3b61301ae5605e3a2	-6.084684404999988	-0.0067989727785	0.1677573250411019	0.0020569935124942	(-6.40546, -5.78187)	(-0.0105404, -0.00288833)	0.0037414272215	0.0039106427784999995	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Roseburia_A_166204; s__Roseburia_A_166204 hominis
13	f4dfb45b33372cdc0dc2fd20c0d0b448	-7.82468879999999	-0.006670354067845	0.1963746947573949	0.0024366171241816	(-8.16203, -7.44101)	(-0.0108891, -0.00195391)	0.004218745932155	0.004716444067845001	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Oscillospirales; f__CAG-272; g__Avispirillum; s__Avispirillum sp011957885
14	2a99ec1157a90661db7ff643b82f1914	-6.0424960349999886	-0.006611246826	0.1884022888826693	0.0020492199590643	(-6.38611, -5.67022)	(-0.0102606, -0.00258626)	0.0036493531740000003	0.004024986826	yes	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides_H_857956; s__Bacteroides_H_857956 fragilis
15	25e04b2be57def00437d44ab461e8773	-7.441366975000006	-0.0065918664158499	0.1883995685194088	0.0023467162925467	(-7.76707, -7.06181)	(-0.0105619, -0.00204274)	0.003970033584150101	0.0045491264158499	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Coprococcus_A_121497; s__Coprococcus_A_121497 eutactus
16	09ee2c2d76be17c9ede2d4c57412adeb	-8.609768195000017	-0.0064745531939499	0.1595364171297323	0.0020104532769523	(-8.89273, -8.30897)	(-0.0104208, -0.00301473)	0.0039462468060500995	0.0034598231939498994	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Christensenellales; f__Aristaeellaceae; g__; s__
17	6c83fec6e8d03fad51eabc871853c991	-7.996780999999983	-0.006349327907	0.1504732620663883	0.0019640858074369	(-8.26635, -7.70459)	(-0.0100689, -0.00276978)	0.003719572093	0.0035795479070000005	yes	d__Bacteria; p__Bacillota_C; c__Negativicutes; o__Veillonellales; f__Veillonellaceae; g__Veillonella_A; s__Veillonella_A parvula
18	1243750138937650754b619370565800	-5.74918600000001	-0.0062955028849999	0.1103049995607634	0.001361056740458	(-5.93467, -5.51978)	(-0.00883383, -0.00389573)	0.0025383271150001005	0.0023997728849999003	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Lachnospira; s__Lachnospira sp000437735
19	79d5bee84cddbb27acb4dd7df378c789	-6.923084469999997	-0.0062887319699999	0.1322889108686707	0.0016452223796201	(-7.15643, -6.66302)	(-0.00953274, -0.00337694)	0.0032440080300000992	0.0029117919699999002	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Christensenellales; f__Aristaeellaceae; g__SFMI01; s__
20	29bb5fa7f45e47bbabab8cc1b1b3d18e	-8.436592675000002	-0.0062723752445	0.1511107586745375	0.0018124831107915	(-8.7191, -8.16652)	(-0.00967614, -0.00294251)	0.0034037647554999995	0.0033298652445	yes	d__Bacteria; p__Bacillota_C; c__Negativicutes; o__Veillonellales; f__Veillonellaceae; g__Veillonella_A; s__Veillonella_A parvula
21	2ae945b550c248752a5b463c9aca1a6a	-9.103589105000006	-0.006242923695	0.1463762309002009	0.0018267206882338	(-9.37538, -8.81963)	(-0.00967291, -0.00275724)	0.0034299863049999995	0.003485683695	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Oscillospirales; f__Ruminococcaceae; g__Paludihabitans; s__Paludihabitans psychrotolerans
22	e91f1c5b67ffecb5ca3ca3b393a50f00	-4.258258979999995	-0.006223184785	0.1120093746494443	0.0014221325635437	(-4.46066, -4.04827)	(-0.00867425, -0.00346491)	0.0024510652149999992	0.0027582747850000006	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Christensenellales; f__Aristaeellaceae; g__SFMI01; s__
