Feature	Intercept_mean	carb_eaten_mean	Intercept_std	carb_eaten_std	Intercept_hdi	carb_eaten_hdi
eea6b86c0c75e740670ccc50613b1b23	-3.271565344999999	-0.00036798756977204987	0.10135298376111562	0.0004323904193820944	(-3.45247, -3.06543)	(-0.00116844, 0.000493316)
3fe55dd5e59267f275e972017302459f	-6.697586359999999	0.0019871958795165024	0.6018061082899957	0.002562729549589637	(-7.69954, -5.41628)	(-0.00280058, 0.00681776)
f11bd4248a2f95e53507c5bbf8dda43a	-6.116683150000004	-0.003002614036349998	0.2493215603355987	0.001073409977729977	(-6.60979, -5.68867)	(-0.00497965, -0.00100978)
09a55cd0bdf9fa4929eab3f0ed841bf5	-8.68633511	-0.001226030750699999	0.27637299852316954	0.001193878088537894	(-9.21064, -8.16002)	(-0.00344551, 0.00105362)
bfb7bb16ab570748b3a5d099e9426af1	-8.051397329999991	-0.0014767930041200022	0.18695678952600558	0.0008016733166154066	(-8.43437, -7.72071)	(-0.00297036, 9.33476e-05)
ad52a0f6646c574417ce0b13b84acfa9	-4.016097335000003	0.0017952935375250007	0.3026000854343036	0.0012979184600870918	(-4.56733, -3.43776)	(-0.000673336, 0.00419177)
180b74e94caf35fac5e1f0f4b7ad9d9f	-6.039705349999991	-0.0015762264274415004	0.12277607552726831	0.0005273667411411575	(-6.26872, -5.81081)	(-0.00256316, -0.00058736)
810926a593979f3574e3bbe7defd3559	-9.728097690000007	0.001341416858089999	0.4022979649040794	0.0017112047540261313	(-10.4027, -8.91448)	(-0.0018657, 0.00440483)
5d62137a2d05df0be8d6b7e163a3ef08	-5.516028265000004	0.0015669412309100017	0.4540536304468222	0.0019432424781742825	(-6.33608, -4.67262)	(-0.00198112, 0.0050741)
f9765bd9332162f70268554ab318197e	-6.638155504999992	-0.0013016547011755013	0.31977062410647566	0.0013727880845552404	(-7.2216, -6.03205)	(-0.0039224, 0.00118809)
bc5b6cc17572b4fd6ebd80081410427e	-9.826367295000022	-7.800061724000006e-06	0.2678549118331286	0.0011506640314248113	(-10.3213, -9.34443)	(-0.00214931, 0.00211378)
a29679284280410db95e5cb8c0b2d73d	-8.057183425000003	-0.0036856371581999946	0.316274570343585	0.0013525375447318597	(-8.63156, -7.48097)	(-0.00614446, -0.00125573)
1c86153e1b13ab5322c96f2602b73513	-4.716090275000012	-0.003347527861640001	0.471984928820587	0.0020534329422267896	(-5.66243, -3.93997)	(-0.00693411, 0.000606919)
fec0355651c9ad579f01f3e332311725	-7.384888194999994	0.0013470359337850043	0.23774237952853927	0.00103880087096424	(-7.83169, -6.96677)	(-0.000505127, 0.0033671)
f10155af1849a17996f302d71b32398c	-7.456856105000009	-0.003233431228855001	0.3585792125900201	0.0015411048615049298	(-8.10514, -6.7454)	(-0.00611496, -0.000329431)
0cc26190e976fc496119a5eb4cd0fee7	-9.244860169999988	-0.0035336369316999903	0.3236472860573236	0.0014130169943246276	(-9.87684, -8.66531)	(-0.00610349, -0.000838354)
9c25197937d1f54e2634026fbca6b55f	-6.753580759999986	-0.0012699514784250015	0.5029353752823735	0.0021587803321388476	(-7.72253, -5.8575)	(-0.00513477, 0.00292438)
40ced57decad1424c32de76ae039c050	-9.563978280000004	0.00036557040402499983	0.231042785803283	0.001002067932856154	(-9.99651, -9.14724)	(-0.00147221, 0.0022187)
2ad31c7624bd7744a56a5ccac67ed01a	-8.476858805000003	-0.0007699150998140021	0.2195577913468842	0.0009332263143595248	(-8.90154, -8.10719)	(-0.0025008, 0.000870316)
41df3b4c55182503ecd97c6dbe47966a	-7.301765905000008	0.0026062111983500046	0.19673906714219458	0.0008553618738920622	(-7.68742, -6.97464)	(0.00110801, 0.00429284)
fea3411c847e6627afb5e78b88e2e9af	-4.5274759700000144	-0.005037831513500008	0.33794681527388176	0.0014646426288147242	(-5.13049, -3.87916)	(-0.00762502, -0.00215794)
8bb5ff097e0707dca3fe5860af20f4a6	-6.580385594999999	-0.0006241040673029997	0.2026488515157339	0.0008742193722223752	(-6.93428, -6.17418)	(-0.0021877, 0.00109323)
bda6b6e7da7508c68057140e7bd6cd8d	-5.954475095000012	-0.0011975089687719987	0.26034688788554966	0.0011165203382782214	(-6.42966, -5.47332)	(-0.00332053, 0.000809571)
1a5526b9f7147b6893f1a034a107cc65	-8.657387345000002	-0.0054687942750000105	0.3437230864387799	0.0015185588805407735	(-9.27604, -8.01163)	(-0.00833994, -0.00272365)
97f26830027d30dfbd60b54895af0660	-8.920631469999995	-0.0006392030611849989	0.2885885061066001	0.0012390518028726866	(-9.40662, -8.35621)	(-0.00291579, 0.00159931)
d061a99148d649c4eca4836c5f4b5b68	-4.435061955000004	-0.0011362679232745016	0.1468214551226351	0.0006340696851008245	(-4.71307, -4.16408)	(-0.00224437, 5.77756e-05)
f9f5f08e8da4cc9740518223846563db	-8.15481775	-0.001401502956089998	0.39456819753983946	0.0017020853450264264	(-8.85389, -7.3919)	(-0.00454636, 0.00182651)
40c85a458df8d5a935122ba778d4f334	-5.045350319999998	-0.0017481150759950002	0.3907324657001224	0.0016649820199128751	(-5.74051, -4.29138)	(-0.00494137, 0.00121311)
7ebc04cb539befd9f2e7faa131628c66	-8.77699927499998	0.002005342116825	0.28334537063859766	0.0012133236069790632	(-9.34632, -8.28813)	(-9.84947e-05, 0.00441807)
f7ef98bb6d0061b9368a72b1ff40aad0	-7.467123364999992	-0.006554575422500001	0.4074776595325529	0.0017448821020609117	(-8.28208, -6.78452)	(-0.0099147, -0.00331581)
362b97b08074732371b6e76cd1a894e1	-6.812923055000017	-0.0012201165128100015	0.5874877138535896	0.0025451487268051158	(-7.92159, -5.73518)	(-0.0063303, 0.00318382)
2fad39e365933a7f925040cb3c2a5ef8	-5.577859955000004	-0.0023515868167060007	0.3706933128143099	0.0016050909462583284	(-6.22888, -4.86903)	(-0.00512135, 0.000799515)
4c855814a58f4f324e8f0cfaab222e1f	-7.617355469999974	-0.0054216134600000125	0.48794021501663415	0.0021154734917260415	(-8.54701, -6.70171)	(-0.00936396, -0.0013935)
2f61368750bbc7603f01c928568e7ad3	-6.683749715000001	-0.0012689106214699983	0.17601168189943758	0.0007554731658900728	(-7.01861, -6.36223)	(-0.00270987, 0.00013082)
599ba6458e91e2527f358f547ea39261	-3.8001476299999943	-0.0019237564065000018	0.12971251584671048	0.0005557112044872629	(-4.05389, -3.56311)	(-0.00312073, -0.0010049)
4b548f1f6fc22f32237396b7d4ffee6e	-6.894724434999995	-0.0033295182750000016	0.16390405172746877	0.0007094740365951199	(-7.20254, -6.59491)	(-0.00464438, -0.0020198)
eb3543a838a705addef1d704eda7cad3	-7.357940924999988	-0.0030201452601899973	0.5032185884588273	0.0021963732160677346	(-8.32063, -6.40111)	(-0.00741162, 0.000990566)
2281740c4ae82360612b5bc7e9538337	-6.874930129999989	0.0018027056394800001	0.3391779183077563	0.0014661981155136368	(-7.48793, -6.20143)	(-0.00107496, 0.00438018)
96936173022b85940115c9ea103505bd	-7.864081509999998	-0.0012010494987512847	0.24583811220541024	0.0010607279945155867	(-8.30536, -7.39334)	(-0.00310106, 0.000760827)
f45b62ab6ec22fb20364a7e05088158f	-6.875723865000011	-0.0016484571258549967	0.29667198174652715	0.0012743085451632464	(-7.41105, -6.31222)	(-0.00394019, 0.000808019)
c16907f7272c334959e9f980842194cf	-7.737895770000013	-0.0015800338391249987	0.3781356597325981	0.0016387854404373182	(-8.43066, -7.05655)	(-0.0044901, 0.00164252)
266c2a374ca451985731e1e1b5961bd2	-7.525180054999991	-0.003909641021000002	0.2545193717805128	0.0011035410167855295	(-8.01532, -7.06506)	(-0.00615019, -0.00195939)
2ad8a4ebf774763b765f4ab5b516ff21	-9.25228911	-0.0005898019897396003	0.29570571073485835	0.0012821186635403685	(-9.79522, -8.69343)	(-0.0030604, 0.00171733)
f12011ad5219b22b6ca790103333a755	-8.733670784999994	-0.0019268725999599997	0.20666860311095567	0.0008910560510701306	(-9.17353, -8.39064)	(-0.00351277, -0.000129157)
b9fefd4224e459a6a0d21db63b1c0d03	-9.210545565000013	0.0012323899770114988	0.3965990854803889	0.0017143442078160005	(-9.95809, -8.5033)	(-0.00181276, 0.0044936)
0cc2420a6a4698f8bf664d50b17d26b4	-5.382808805000004	-0.003673207786499994	0.24150209225060942	0.001028612025015595	(-5.80427, -4.91218)	(-0.00569547, -0.00192964)
33f9226b33e1f59f71edc044bb947764	-5.153174805000008	0.0036536000260500067	0.4088231262703492	0.0017606752399435461	(-5.90508, -4.42777)	(0.000432835, 0.00667477)
b4ef8e75d847b17325effd2f3873cc9c	-6.6688405350000055	-0.003389202429777495	0.38263375999219423	0.001629412230335304	(-7.44166, -5.98936)	(-0.00664314, -0.000500896)
8ffd2b3caa54b2922e98a0d5aab5adde	-6.92169445	-0.0003456296126300005	0.30433134388146355	0.0013195924832702748	(-7.51951, -6.3734)	(-0.00280004, 0.00211862)
42608e863ede290f764f14c074e8e4fb	-9.638464059999997	0.002774476785600001	0.24899044474259716	0.0010700515976396607	(-10.1434, -9.19485)	(0.000800394, 0.00488993)
2a8a90cd5770804a5f23f425004de7e5	-6.359457230000009	0.00023050985975099959	0.5460826707310241	0.002338541352033683	(-7.33021, -5.27864)	(-0.00432968, 0.00441166)
f19fa34c0c987ab3bd8aa42d8a4d21ec	-9.252847875000015	0.0013891875353750003	0.2577520461785596	0.0011027852469261874	(-9.72231, -8.76629)	(-0.000536063, 0.00362568)
340a5698fe78713b785c3bcce89df73b	-8.26723395500001	-0.0010879959410619985	0.28626143253083897	0.0012357737602731902	(-8.84669, -7.7806)	(-0.00326668, 0.0013018)
376917760e5aa918592416e980809536	-5.251857395000011	-0.0031350772559600036	0.4286275687390671	0.0018521902356081366	(-6.06195, -4.49397)	(-0.0065977, 0.000296722)
589c1370b3324a2d6cff6d1ff85341d1	-7.113415870000007	-0.002817533850024999	0.4088884818838054	0.0017586532865879717	(-7.91365, -6.37314)	(-0.0060624, 0.000625698)
e5a43b018c81cedd19e9a5354d32d469	-5.6768801850000115	-0.003341883090949996	0.37206264800274635	0.0015925280392890338	(-6.35664, -4.9767)	(-0.00624124, -0.000267093)
f4dfb45b33372cdc0dc2fd20c0d0b448	-7.680895115	-0.002407682843534998	0.5006423803862261	0.002175580557022207	(-8.65046, -6.78628)	(-0.0067392, 0.00154183)
e1b3393309a8b247e0c358c26176d13c	-6.7150576399999995	1.3008459909700023e-05	0.16491862527662066	0.0007004899026225936	(-7.00522, -6.38005)	(-0.00133966, 0.00133422)
b47757a69204f053308f7f5f0022edab	-7.390873795000008	-0.0014089849461950018	0.3520268396798008	0.0015236137048215536	(-8.019, -6.73452)	(-0.00422387, 0.0013173)
03569e3fd843f501355f7853b0ec9361	-6.295057599999998	3.254169311950009e-05	0.31852930105115906	0.0013665027239165386	(-6.87109, -5.68135)	(-0.0026272, 0.00250977)
25e04b2be57def00437d44ab461e8773	-7.584894069999993	-0.001148478689907	0.37589945374093714	0.0015998645209461427	(-8.24631, -6.90043)	(-0.00394322, 0.00196806)
4d04d759f5a6615dac43060726239891	-4.994880954999987	-0.001396752745354998	0.24740402654572533	0.0010686420420897458	(-5.48098, -4.56531)	(-0.00352268, 0.000475536)
237135dc8b20f922cabee934f7d410a1	-6.675969120000008	0.0003629873164799996	0.33993232093657333	0.0014785486856106814	(-7.26901, -5.97729)	(-0.00248517, 0.00308372)
9dd9cefe38347b087dd318d82962cc03	-5.816299025000004	0.0002018607575949998	0.27816278526341265	0.0012017585750376634	(-6.35873, -5.32264)	(-0.00196141, 0.00251998)
c764eda12e92f19526c7e5a78a38c615	-9.029603655000003	-0.003831412540250004	0.34232811805399616	0.0015000524036134864	(-9.68652, -8.39299)	(-0.0065135, -0.000979248)
6fc765c81c8b663cedcd799094894748	-8.630230254999994	-0.00039361016431499897	0.3505597607404264	0.0015149043906555644	(-9.26583, -7.94852)	(-0.00302067, 0.00270563)
1a389bf765c8ff0f92600f684fbe7ad7	-6.5636843399999885	0.0030026785922149983	0.2668531320180903	0.00114483640750881	(-7.0333, -6.03678)	(0.000928838, 0.00519772)
b0645cbec7653c887cb868a248d95874	-3.834868575000004	0.0001833287237870001	0.1580044267823512	0.0006818814808217158	(-4.13764, -3.55404)	(-0.00111104, 0.00140271)
d6c46ad81c01997055a3b713c0d5ee1b	-5.698820755000004	-0.0031665363247349986	0.39899799685071113	0.0017080605414564198	(-6.41927, -4.96383)	(-0.00645451, -7.24122e-05)
fe2a1f2b6f247658881254d63fd68b74	-5.743252404999992	-0.0012227578104191	0.40720793503327724	0.001742583987044415	(-6.47684, -4.96354)	(-0.00442164, 0.00206013)
